ligand,E1,E2,E3
GEGSSUSEWOHAFE-UHFFFAOYSA-N,-4.3,-4.8,-3.9
UCCJWNPWWPJKGL-DEOSSOPVSA-N,-7.9,-7.0,-6.1
WFNAKBGANONZEQ-GOSISDBHSA-N,-5.5,-5.9,-4.9
CURLTUGMZLYLDI-UHFFFAOYSA-N,-2.1,-1.7,-1.7
SRBFZHDQGSBBOR-LECHCGJUSA-N,-4.6,-4.3,-4.0
WIIZWVCIJKGZOK-RKDXNWHRSA-N,-5.7,-6.1,-5.6
AJPLPOWGYORUIF-UHFFFAOYSA-N,-6.4,-6.3,-5.6
LENZDBCJOHFCAS-UHFFFAOYSA-N,-3.8,-3.3,-3.9
XNEFYCZVKIDDMS-UHFFFAOYSA-N,-6.2,-6.4,-6.2
JEIPFZHSYJVQDO-UHFFFAOYSA-N,-3.9,-2.8,-3.0
WBHHMMIMDMUBKC-QJWNTBNXSA-N,-4.1,-4.7,-4.9
UUQMNUMQCIQDMZ-UHFFFAOYSA-N,-3.8,-4.3,-3.6
HRYZWHHZPQKTII-UHFFFAOYSA-N,-1.6,-2.1,-1.7
ZYVXHFWBYUDDBM-UHFFFAOYSA-N,-4.3,-4.8,-4.1
YYQRGCZGSFRBAM-UHFFFAOYSA-N,-4.1,-4.0,-3.9
NMUSYJAQQFHJEW-KVTDHHQDSA-N,-6.0,-6.2,-4.9
WGNUNYPERJMVRM-UHFFFAOYSA-N,-4.4,-5.1,-4.2
PVNIIMVLHYAWGP-UHFFFAOYSA-N,-4.3,-4.8,-4.1
PHVGLTMQBUFIQQ-UHFFFAOYSA-N,-5.9,-6.9,-5.6
IDCHQQSVJAAUQQ-UHFFFAOYSA-N,-5.1,-5.5,-5.0
OEYIOHPDSNJKLS-UHFFFAOYSA-N,-3.1,-2.9,-3.1
JURKNVYFZMSNLP-UHFFFAOYSA-N,-5.8,-7.0,-5.6
CVKNDPRBJVBDSS-CQSZACIVSA-N,-6.2,-6.9,-5.4
WPYMKLBDIGXBTP-UHFFFAOYSA-N,-4.2,-5.1,-4.1
