ligand,E1,E2,E3
WIIZWVCIJKGZOK-RKDXNWHRSA-N,-6.8,-5.9,-6.0
CVKNDPRBJVBDSS-CQSZACIVSA-N,-7.3,-5.5,-5.6
NMUSYJAQQFHJEW-KVTDHHQDSA-N,-7.3,-6.6,-6.5
WBHHMMIMDMUBKC-QJWNTBNXSA-N,-6.0,-4.8,-5.4
HRYZWHHZPQKTII-UHFFFAOYSA-N,-2.5,-2.1,-2.0
WGNUNYPERJMVRM-UHFFFAOYSA-N,-5.6,-5.7,-5.7
SRBFZHDQGSBBOR-LECHCGJUSA-N,-5.6,-5.0,-5.2
JEIPFZHSYJVQDO-UHFFFAOYSA-N,-3.7,-3.1,-3.1
UUQMNUMQCIQDMZ-UHFFFAOYSA-N,-5.5,-4.7,-4.7
PVNIIMVLHYAWGP-UHFFFAOYSA-N,-5.2,-4.9,-5.2
XNEFYCZVKIDDMS-UHFFFAOYSA-N,-8.3,-6.5,-6.9
GEGSSUSEWOHAFE-UHFFFAOYSA-N,-5.5,-5.1,-5.3
OEYIOHPDSNJKLS-UHFFFAOYSA-N,-3.4,-3.6,-3.6
PHVGLTMQBUFIQQ-UHFFFAOYSA-N,-8.7,-7.6,-7.3
UCCJWNPWWPJKGL-DEOSSOPVSA-N,-9.7,-7.5,-7.7
ZYVXHFWBYUDDBM-UHFFFAOYSA-N,-5.6,-5.1,-5.1
CURLTUGMZLYLDI-UHFFFAOYSA-N,-3.1,-2.0,-2.0
YYQRGCZGSFRBAM-UHFFFAOYSA-N,-5.1,-5.0,-5.1
AJPLPOWGYORUIF-UHFFFAOYSA-N,-8.5,-6.9,-6.9
IDCHQQSVJAAUQQ-UHFFFAOYSA-N,-6.9,-6.0,-6.1
WFNAKBGANONZEQ-GOSISDBHSA-N,-7.8,-6.0,-6.0
LENZDBCJOHFCAS-UHFFFAOYSA-N,-3.8,-4.0,-3.9
WPYMKLBDIGXBTP-UHFFFAOYSA-N,-5.7,-5.3,-5.4
JURKNVYFZMSNLP-UHFFFAOYSA-N,-8.8,-5.3,-8.1
