ligand,E1,E2,E3
IDCHQQSVJAAUQQ-UHFFFAOYSA-N,-7.2,-6.6,-6.9
AJPLPOWGYORUIF-UHFFFAOYSA-N,-9.2,-8.1,-8.1
UCCJWNPWWPJKGL-DEOSSOPVSA-N,-10.4,-9.3,-9.6
SRBFZHDQGSBBOR-LECHCGJUSA-N,-6.4,-6.4,-5.5
PVNIIMVLHYAWGP-UHFFFAOYSA-N,-5.7,-5.8,-5.0
CURLTUGMZLYLDI-UHFFFAOYSA-N,-2.8,-2.6,-2.3
ZYVXHFWBYUDDBM-UHFFFAOYSA-N,-5.8,-5.9,-5.2
JEIPFZHSYJVQDO-UHFFFAOYSA-N,-4.0,-4.0,-3.9
OEYIOHPDSNJKLS-UHFFFAOYSA-N,-4.1,-4.1,-3.2
JURKNVYFZMSNLP-UHFFFAOYSA-N,-8.2,-7.8,-7.8
XNEFYCZVKIDDMS-UHFFFAOYSA-N,-9.2,-8.6,-8.6
WGNUNYPERJMVRM-UHFFFAOYSA-N,-5.7,-6.1,-4.8
GEGSSUSEWOHAFE-UHFFFAOYSA-N,-5.8,-5.6,-5.0
WPYMKLBDIGXBTP-UHFFFAOYSA-N,-6.1,-5.6,-4.8
WBHHMMIMDMUBKC-QJWNTBNXSA-N,-6.6,-6.1,-5.5
WIIZWVCIJKGZOK-RKDXNWHRSA-N,-7.6,-7.3,-6.5
HRYZWHHZPQKTII-UHFFFAOYSA-N,-2.2,-2.0,-1.9
YYQRGCZGSFRBAM-UHFFFAOYSA-N,-5.2,-5.6,-4.6
LENZDBCJOHFCAS-UHFFFAOYSA-N,-4.4,-5.0,-3.9
PHVGLTMQBUFIQQ-UHFFFAOYSA-N,-8.2,-8.1,-8.1
CVKNDPRBJVBDSS-CQSZACIVSA-N,-7.9,-8.0,-7.5
NMUSYJAQQFHJEW-KVTDHHQDSA-N,-7.6,-7.9,-6.8
WFNAKBGANONZEQ-GOSISDBHSA-N,-7.8,-7.7,-7.6
UUQMNUMQCIQDMZ-UHFFFAOYSA-N,-5.3,-5.1,-4.5
