ligand,E1,E2,E3
VUFOCTSXHUWGPW-QHCPKHFHSA-N,-6.8,-5.2,-6.7
SSLKKMZJCJBOML-UHFFFAOYSA-N,-5.6,-5.4,-5.9
XULACPAEUUWKFX-UHFFFAOYSA-N,-7.3,-6.7,-6.5
DIDCGVRALANKIU-OTEFFYEFSA-N,-0.8,-0.7,-0.6
UKMSUNONTOPOIO-UHFFFAOYSA-N,-5.2,-5.4,-4.6
XSQUKJJJFZCRTK-OUBTZVSYSA-N,-2.9,-3.3,-2.8
FDMBBCOBEAVDAO-AWEZNQCLSA-N,-5.8,-5.5,-6.1
CYTYCFOTNPOANT-UHFFFAOYSA-N,-3.2,-3.4,-3.3
ARHWPKZXBHOEEE-UHFFFAOYSA-N,-6.0,-6.1,-6.1
KDXKERNSBIXSRK-YFKPBYRVSA-N,-4.7,-5.1,-4.7
BDERNNFJNOPAEC-UHFFFAOYSA-N,-3.0,-3.1,-3.0
NZLVRVYNQYGMAB-UHFFFAOYSA-N,-6.7,-5.1,-7.3
YDDUMTOHNYZQPO-RVXRWRFUSA-N,-8.4,-7.7,-8.1
NWVVVBRKAWDGAB-UHFFFAOYSA-N,-4.7,-5.1,-4.9
CKLJMWTZIZZHCS-REOHCLBHSA-N,-4.4,-5.0,-4.2
MTTYXGPMZKRTCI-VIFPVBQESA-N,-5.7,-6.5,-6.2
MVQVNTPHUGQQHK-UHFFFAOYSA-N,-4.3,-4.6,-4.3
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,-5.6,-5.1,-5.4
KSUUMAWCGDNLFK-SSDOTTSWSA-N,-5.9,-6.0,-5.8
SPAGIJMPHSUYSE-UHFFFAOYSA-N,-3.5,-2.9,-2.5
PBAPPPCECJKMCM-IBGZPJMESA-N,-6.4,-6.4,-6.9
FZERHIULMFGESH-UHFFFAOYSA-N,-4.9,-5.1,-5.0
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,-10.1,-7.4,-8.9
ZKLPARSLTMPFCP-NRFANRHFSA-N,-7.1,-6.1,-7.3
