ligand,E1,E2,E3
BDERNNFJNOPAEC-UHFFFAOYSA-N,-3.0,-2.9,-3.2
CYTYCFOTNPOANT-UHFFFAOYSA-N,-3.8,-3.3,-2.9
UKMSUNONTOPOIO-UHFFFAOYSA-N,-5.5,-4.5,-3.8
NWVVVBRKAWDGAB-UHFFFAOYSA-N,-5.1,-4.8,-4.9
XULACPAEUUWKFX-UHFFFAOYSA-N,-6.9,-6.6,-6.2
YDDUMTOHNYZQPO-RVXRWRFUSA-N,-8.8,-6.1,-6.1
MTTYXGPMZKRTCI-VIFPVBQESA-N,-6.6,-5.6,-5.7
SPAGIJMPHSUYSE-UHFFFAOYSA-N,-2.3,-2.6,-2.9
MVQVNTPHUGQQHK-UHFFFAOYSA-N,-4.7,-4.4,-4.1
VUFOCTSXHUWGPW-QHCPKHFHSA-N,-7.2,-6.1,-5.3
ZKLPARSLTMPFCP-NRFANRHFSA-N,-7.1,-6.5,-6.0
SSLKKMZJCJBOML-UHFFFAOYSA-N,-6.3,-5.1,-4.6
KDXKERNSBIXSRK-YFKPBYRVSA-N,-4.8,-4.9,-4.7
XSQUKJJJFZCRTK-OUBTZVSYSA-N,-3.0,-3.0,-3.4
FDMBBCOBEAVDAO-AWEZNQCLSA-N,-6.5,-5.0,-4.5
ARHWPKZXBHOEEE-UHFFFAOYSA-N,-6.2,-6.0,-5.0
NZLVRVYNQYGMAB-UHFFFAOYSA-N,-7.6,-7.0,-6.4
PBAPPPCECJKMCM-IBGZPJMESA-N,-8.7,-6.5,-5.3
CKLJMWTZIZZHCS-REOHCLBHSA-N,-4.5,-5.0,-4.6
FZERHIULMFGESH-UHFFFAOYSA-N,-5.7,-5.1,-4.5
KSUUMAWCGDNLFK-SSDOTTSWSA-N,-6.1,-4.9,-5.2
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,-6.0,-5.0,-3.8
DIDCGVRALANKIU-OTEFFYEFSA-N,-0.8,-0.7,-0.6
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,-9.7,-7.5,-5.7
