ligand,E1,E2,E3
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,-7.7,-6.1,-7.1
FDMBBCOBEAVDAO-AWEZNQCLSA-N,-5.9,-6.9,-7.2
FZERHIULMFGESH-UHFFFAOYSA-N,-5.1,-6.3,-5.9
NZLVRVYNQYGMAB-UHFFFAOYSA-N,-6.7,-5.5,-5.8
CKLJMWTZIZZHCS-REOHCLBHSA-N,-4.2,-4.8,-4.7
KDXKERNSBIXSRK-YFKPBYRVSA-N,-4.3,-5.2,-5.0
ZKLPARSLTMPFCP-NRFANRHFSA-N,-7.1,-5.5,-6.0
YDDUMTOHNYZQPO-RVXRWRFUSA-N,-8.6,-6.2,-6.2
XULACPAEUUWKFX-UHFFFAOYSA-N,-7.1,-4.2,-5.3
UKMSUNONTOPOIO-UHFFFAOYSA-N,-4.6,-3.8,-4.0
MVQVNTPHUGQQHK-UHFFFAOYSA-N,-4.5,-4.9,-4.9
NWVVVBRKAWDGAB-UHFFFAOYSA-N,-4.5,-5.6,-5.4
DIDCGVRALANKIU-OTEFFYEFSA-N,-0.7,-0.7,-0.6
BDERNNFJNOPAEC-UHFFFAOYSA-N,-3.0,-3.1,-3.0
PBAPPPCECJKMCM-IBGZPJMESA-N,-7.4,-5.4,-5.4
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,-5.8,-4.6,-6.7
VUFOCTSXHUWGPW-QHCPKHFHSA-N,-6.9,-4.6,-5.8
KSUUMAWCGDNLFK-SSDOTTSWSA-N,-6.1,-6.4,-6.1
MTTYXGPMZKRTCI-VIFPVBQESA-N,-6.3,-7.2,-6.8
XSQUKJJJFZCRTK-OUBTZVSYSA-N,-2.9,-3.0,-3.1
SSLKKMZJCJBOML-UHFFFAOYSA-N,-5.8,-7.4,-7.1
SPAGIJMPHSUYSE-UHFFFAOYSA-N,-2.4,-2.4,-2.3
CYTYCFOTNPOANT-UHFFFAOYSA-N,-3.3,-4.0,-3.8
ARHWPKZXBHOEEE-UHFFFAOYSA-N,-5.7,-7.1,-6.6
