ligand,E1,E2,E3
FZERHIULMFGESH-UHFFFAOYSA-N,-6.6,-6.5,-6.4
VUFOCTSXHUWGPW-QHCPKHFHSA-N,-8.8,-8.7,-6.9
CKLJMWTZIZZHCS-REOHCLBHSA-N,-5.6,-5.6,-5.4
XULACPAEUUWKFX-UHFFFAOYSA-N,-7.7,-7.7,-7.5
KSUUMAWCGDNLFK-SSDOTTSWSA-N,-6.8,-6.5,-6.6
CYTYCFOTNPOANT-UHFFFAOYSA-N,-4.1,-4.2,-4.0
UKMSUNONTOPOIO-UHFFFAOYSA-N,-5.9,-6.6,-5.1
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,-7.0,-6.9,-6.4
PBAPPPCECJKMCM-IBGZPJMESA-N,-8.8,-8.5,-7.3
NZLVRVYNQYGMAB-UHFFFAOYSA-N,-8.3,-7.6,-7.2
FDMBBCOBEAVDAO-AWEZNQCLSA-N,-6.8,-7.0,-6.2
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,-11.1,-11.0,-9.5
BDERNNFJNOPAEC-UHFFFAOYSA-N,-3.3,-3.3,-3.3
ARHWPKZXBHOEEE-UHFFFAOYSA-N,-6.8,-6.9,-7.4
SSLKKMZJCJBOML-UHFFFAOYSA-N,-6.6,-6.7,-6.9
YDDUMTOHNYZQPO-RVXRWRFUSA-N,-10.1,-10.3,-9.0
DIDCGVRALANKIU-OTEFFYEFSA-N,-0.8,-0.7,-0.8
ZKLPARSLTMPFCP-NRFANRHFSA-N,-8.4,-8.3,-6.8
MVQVNTPHUGQQHK-UHFFFAOYSA-N,-5.0,-5.0,-5.3
XSQUKJJJFZCRTK-OUBTZVSYSA-N,-3.6,-3.4,-3.1
NWVVVBRKAWDGAB-UHFFFAOYSA-N,-5.5,-5.5,-5.7
SPAGIJMPHSUYSE-UHFFFAOYSA-N,-3.0,-2.8,-3.2
KDXKERNSBIXSRK-YFKPBYRVSA-N,-5.1,-5.0,-5.5
MTTYXGPMZKRTCI-VIFPVBQESA-N,-7.1,-7.4,-7.3
