ligand,E1,E2,E3
YNUMZJCKFQVSRH-HWKANZROSA-N,-6.1,-6.2,-6.2
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-6.8,-6.5,-7.2
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-3.1,-3.0,-2.9
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.5,-4.6,-4.6
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-5.7,-5.2,-5.7
NLORYLAYLIXTID-ISLYRVAYSA-N,-6.2,-6.8,-7.1
UOMKBIIXHQIERR-UHFFFAOYSA-N,-7.1,-6.9,-8.2
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-7.1,-6.8,-8.3
CZMRCDWAGMRECN-UGDNZRGBSA-N,-7.0,-7.0,-6.7
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.8,-2.6,-2.9
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.1,-7.1,-7.9
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.5,-3.4,-3.2
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-5.7,-6.1,-6.0
XLFWDASMENKTKL-UHFFFAOYSA-N,-6.7,-6.6,-6.1
UCTRAOBQFUDCSR-SECBINFHSA-N,-5.9,-5.9,-6.6
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-6.3,-6.3,-7.1
YTGJWQPHMWSCST-GSVOUGTGSA-N,-4.6,-4.6,-4.8
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-7.0,-7.3,-6.6
QSRHLIUOSXVKTG-YADHBBJMSA-N,-7.6,-7.7,-8.2
YMTINGFKWWXKFG-UHFFFAOYSA-N,-7.4,-7.2,-8.6
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-7.3,-7.5,-7.6
WTDRDQBEARUVNC-LURJTMIESA-N,-5.9,-6.0,-6.6
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-3.7,-3.8,-3.7
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-7.5,-8.2,-8.8
HPNSFSBZBAHARI-RUDMXATFSA-N,-7.1,-7.1,-7.2
