ligand,E1,E2,E3
XLFWDASMENKTKL-UHFFFAOYSA-N,-6.3,-6.0,-5.1
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-8.7,-6.8,-6.0
YTGJWQPHMWSCST-GSVOUGTGSA-N,-4.9,-4.5,-4.5
WTDRDQBEARUVNC-LURJTMIESA-N,-6.6,-5.5,-5.9
YMTINGFKWWXKFG-UHFFFAOYSA-N,-8.8,-6.5,-5.4
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-8.0,-6.5,-5.8
UCTRAOBQFUDCSR-SECBINFHSA-N,-6.3,-5.7,-5.2
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-6.1,-4.6,-4.8
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-8.2,-6.3,-5.8
HPNSFSBZBAHARI-RUDMXATFSA-N,-7.3,-6.8,-6.2
QSRHLIUOSXVKTG-YADHBBJMSA-N,-8.2,-6.7,-5.9
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-7.2,-5.3,-5.6
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.8,-2.5,-2.9
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.3,-3.2,-4.1
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.4,-6.5,-6.0
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-3.7,-3.7,-3.9
CZMRCDWAGMRECN-UGDNZRGBSA-N,-6.3,-5.5,-5.2
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-6.6,-5.6,-5.0
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.5,-4.2,-4.6
NLORYLAYLIXTID-ISLYRVAYSA-N,-7.6,-6.4,-5.5
UOMKBIIXHQIERR-UHFFFAOYSA-N,-8.0,-6.9,-6.0
YNUMZJCKFQVSRH-HWKANZROSA-N,-6.5,-5.9,-5.7
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-2.9,-3.0,-3.4
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-6.2,-5.6,-5.9
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-7.2,-6.0,-4.7
