ligand,E1,E2,E3
UCTRAOBQFUDCSR-SECBINFHSA-N,-6.2,-5.6,-4.9
UOMKBIIXHQIERR-UHFFFAOYSA-N,-6.7,-6.1,-5.7
YTGJWQPHMWSCST-GSVOUGTGSA-N,-4.7,-4.0,-4.1
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-2.8,-2.8,-3.0
YNUMZJCKFQVSRH-HWKANZROSA-N,-6.6,-5.3,-5.4
QSRHLIUOSXVKTG-YADHBBJMSA-N,-6.5,-5.8,-5.8
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-7.3,-6.6,-5.7
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.3,-3.0,-2.9
NLORYLAYLIXTID-ISLYRVAYSA-N,-7.4,-5.6,-5.2
HPNSFSBZBAHARI-RUDMXATFSA-N,-6.6,-6.7,-5.6
CZMRCDWAGMRECN-UGDNZRGBSA-N,-6.1,-5.5,-4.8
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-5.9,-5.4,-5.4
WTDRDQBEARUVNC-LURJTMIESA-N,-5.8,-5.4,-5.7
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.1,-4.0,-3.7
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-6.8,-6.1,-6.6
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-5.3,-4.8,-4.7
XLFWDASMENKTKL-UHFFFAOYSA-N,-5.8,-5.4,-4.9
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-6.8,-6.1,-4.9
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.5,-2.6,-2.3
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-6.4,-5.6,-6.1
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.0,-5.7,-6.0
YMTINGFKWWXKFG-UHFFFAOYSA-N,-7.2,-6.7,-5.6
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-5.6,-5.3,-5.1
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-3.5,-3.5,-3.3
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-6.5,-6.5,-5.5
