ligand,E1,E2,E3
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-4.5,-4.5,-3.7
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.8,-5.2,-4.1
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.7,-7.7,-7.6
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-4.1,-4.0,-3.4
XLFWDASMENKTKL-UHFFFAOYSA-N,-7.4,-7.7,-7.5
NLORYLAYLIXTID-ISLYRVAYSA-N,-7.9,-8.0,-8.2
WRWRKDRWMURIBI-UHFFFAOYSA-M,-3.1,-3.0,-2.6
QSRHLIUOSXVKTG-YADHBBJMSA-N,-8.8,-8.0,-7.8
HPNSFSBZBAHARI-RUDMXATFSA-N,-7.9,-7.9,-8.0
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-7.5,-8.4,-7.0
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-7.0,-6.8,-6.3
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-3.6,-3.5,-3.0
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-8.3,-8.0,-7.5
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-9.0,-8.0,-8.2
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-8.8,-8.1,-7.8
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-6.9,-7.0,-5.8
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-7.4,-7.5,-6.9
YMTINGFKWWXKFG-UHFFFAOYSA-N,-7.5,-8.2,-8.3
YTGJWQPHMWSCST-GSVOUGTGSA-N,-5.0,-5.4,-4.9
WTDRDQBEARUVNC-LURJTMIESA-N,-6.4,-7.0,-6.3
UCTRAOBQFUDCSR-SECBINFHSA-N,-6.3,-6.3,-6.0
CZMRCDWAGMRECN-UGDNZRGBSA-N,-7.7,-7.8,-7.1
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-6.4,-6.2,-6.4
YNUMZJCKFQVSRH-HWKANZROSA-N,-6.8,-6.6,-6.0
UOMKBIIXHQIERR-UHFFFAOYSA-N,-8.0,-8.0,-7.6
