ligand,E1,E2,E3
XLFWDASMENKTKL-UHFFFAOYSA-N,-5.8,-5.3,-4.9
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-6.4,-5.6,-6.1
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.1,-5.6,-5.7
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-2.8,-2.8,-3.0
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.1,-3.9,-3.7
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-5.9,-5.4,-5.4
QSRHLIUOSXVKTG-YADHBBJMSA-N,-6.5,-6.1,-5.9
CZMRCDWAGMRECN-UGDNZRGBSA-N,-6.1,-5.5,-4.8
YNUMZJCKFQVSRH-HWKANZROSA-N,-6.5,-5.6,-5.5
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-6.7,-6.2,-6.6
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.2,-3.0,-3.0
HPNSFSBZBAHARI-RUDMXATFSA-N,-6.8,-6.7,-5.6
YMTINGFKWWXKFG-UHFFFAOYSA-N,-7.3,-6.6,-5.7
WTDRDQBEARUVNC-LURJTMIESA-N,-5.8,-5.4,-5.6
UCTRAOBQFUDCSR-SECBINFHSA-N,-6.3,-5.6,-5.0
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-3.5,-3.5,-3.3
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-5.4,-5.4,-5.2
NLORYLAYLIXTID-ISLYRVAYSA-N,-7.5,-5.6,-5.1
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-6.8,-6.1,-4.9
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-7.1,-6.6,-5.2
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.6,-2.9,-2.3
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-5.1,-4.8,-4.6
UOMKBIIXHQIERR-UHFFFAOYSA-N,-6.4,-6.1,-5.7
YTGJWQPHMWSCST-GSVOUGTGSA-N,-4.8,-4.1,-4.1
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-7.3,-6.6,-5.8
