ligand,E1,E2,E3
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.5,-3.3,-4.1
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-6.8,-6.9,-4.6
YMTINGFKWWXKFG-UHFFFAOYSA-N,-7.8,-8.6,-6.5
WRWRKDRWMURIBI-UHFFFAOYSA-M,-3.2,-2.6,-2.2
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-6.5,-5.5,-4.6
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-8.7,-7.6,-5.7
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-6.7,-6.2,-5.4
XLFWDASMENKTKL-UHFFFAOYSA-N,-6.6,-5.3,-5.1
UCTRAOBQFUDCSR-SECBINFHSA-N,-6.3,-5.3,-4.8
NLORYLAYLIXTID-ISLYRVAYSA-N,-8.9,-8.7,-5.2
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-7.1,-5.9,-5.3
QSRHLIUOSXVKTG-YADHBBJMSA-N,-7.9,-7.9,-5.8
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-8.2,-8.1,-5.8
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-6.2,-6.0,-5.0
YNUMZJCKFQVSRH-HWKANZROSA-N,-5.8,-5.8,-4.5
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-6.0,-5.1,-4.9
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.5,-3.2,-3.1
HPNSFSBZBAHARI-RUDMXATFSA-N,-7.8,-7.1,-5.5
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-8.2,-7.5,-5.9
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-3.0,-3.2,-2.9
YTGJWQPHMWSCST-GSVOUGTGSA-N,-4.6,-4.2,-4.2
CZMRCDWAGMRECN-UGDNZRGBSA-N,-5.9,-5.9,-5.6
WTDRDQBEARUVNC-LURJTMIESA-N,-6.2,-5.5,-4.9
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-4.1,-3.3,-3.5
UOMKBIIXHQIERR-UHFFFAOYSA-N,-7.3,-6.6,-5.5
