ligand,E1,E2,E3
UCTRAOBQFUDCSR-SECBINFHSA-N,-5.9,-6.0,-6.6
QSRHLIUOSXVKTG-YADHBBJMSA-N,-7.6,-7.7,-8.2
HPNSFSBZBAHARI-RUDMXATFSA-N,-7.1,-7.1,-7.1
WTDRDQBEARUVNC-LURJTMIESA-N,-5.8,-6.3,-6.6
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-7.2,-7.5,-8.2
CZMRCDWAGMRECN-UGDNZRGBSA-N,-6.3,-7.0,-6.8
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-7.2,-6.8,-8.3
YMTINGFKWWXKFG-UHFFFAOYSA-N,-7.5,-7.1,-8.5
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.1,-7.1,-7.9
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.5,-4.6,-4.6
XLFWDASMENKTKL-UHFFFAOYSA-N,-6.7,-6.6,-6.3
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-3.1,-3.0,-2.9
NLORYLAYLIXTID-ISLYRVAYSA-N,-6.5,-6.8,-7.2
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-7.3,-7.2,-6.7
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-6.3,-6.0,-7.1
YNUMZJCKFQVSRH-HWKANZROSA-N,-5.8,-6.5,-6.3
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-6.8,-6.5,-7.2
UOMKBIIXHQIERR-UHFFFAOYSA-N,-7.1,-6.9,-8.2
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-3.7,-3.8,-3.7
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-5.7,-5.2,-5.8
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-7.5,-8.2,-8.8
YTGJWQPHMWSCST-GSVOUGTGSA-N,-4.6,-4.6,-4.9
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-5.8,-6.1,-6.1
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.8,-2.5,-2.9
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.5,-3.4,-3.3
