ligand,E1,E2,E3
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-5.0,-5.3,-4.3
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-5.7,-5.9,-5.4
WTDRDQBEARUVNC-LURJTMIESA-N,-5.0,-6.8,-4.8
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-4.3,-5.7,-3.5
UCTRAOBQFUDCSR-SECBINFHSA-N,-4.5,-6.0,-4.5
NLORYLAYLIXTID-ISLYRVAYSA-N,-5.1,-6.1,-4.8
YTGJWQPHMWSCST-GSVOUGTGSA-N,-3.9,-5.7,-4.6
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.1,-3.8,-3.3
CZMRCDWAGMRECN-UGDNZRGBSA-N,-5.0,-6.3,-5.8
YNUMZJCKFQVSRH-HWKANZROSA-N,-4.3,-7.2,-5.3
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.2,-4.4,-4.1
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-2.7,-3.8,-3.1
UOMKBIIXHQIERR-UHFFFAOYSA-N,-4.9,-6.4,-6.0
QSRHLIUOSXVKTG-YADHBBJMSA-N,-5.4,-5.9,-5.5
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-5.7,-7.0,-5.7
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-5.0,-5.8,-4.4
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-4.8,-6.2,-5.0
HPNSFSBZBAHARI-RUDMXATFSA-N,-5.1,-6.9,-5.6
YMTINGFKWWXKFG-UHFFFAOYSA-N,-5.8,-6.8,-5.4
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-3.6,-4.0,-3.8
XLFWDASMENKTKL-UHFFFAOYSA-N,-4.2,-6.1,-5.5
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-5.1,-6.2,-5.5
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.7,-3.6,-2.7
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-5.5,-6.1,-5.1
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-5.4,-6.1,-5.6
