ligand,E1,E2,E3
WTDRDQBEARUVNC-LURJTMIESA-N,-5.8,-5.4,-5.6
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.0,-5.7,-6.0
HPNSFSBZBAHARI-RUDMXATFSA-N,-7.0,-6.8,-5.4
UCTRAOBQFUDCSR-SECBINFHSA-N,-6.2,-5.5,-5.2
CZMRCDWAGMRECN-UGDNZRGBSA-N,-6.1,-5.5,-4.8
YTGJWQPHMWSCST-GSVOUGTGSA-N,-4.8,-3.9,-4.1
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-6.5,-6.6,-5.1
YMTINGFKWWXKFG-UHFFFAOYSA-N,-7.3,-6.7,-5.9
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-5.4,-4.9,-4.1
NLORYLAYLIXTID-ISLYRVAYSA-N,-7.5,-5.7,-5.1
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-5.9,-5.5,-5.4
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-6.8,-6.1,-4.9
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-2.8,-2.8,-3.0
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-6.7,-6.1,-6.7
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.1,-4.0,-3.7
YNUMZJCKFQVSRH-HWKANZROSA-N,-6.6,-5.5,-5.5
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.3,-3.0,-3.0
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-3.5,-3.5,-3.3
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-7.3,-6.6,-5.7
QSRHLIUOSXVKTG-YADHBBJMSA-N,-6.4,-6.1,-5.6
UOMKBIIXHQIERR-UHFFFAOYSA-N,-6.7,-6.1,-5.7
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-5.6,-5.3,-5.2
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-6.4,-5.6,-6.1
XLFWDASMENKTKL-UHFFFAOYSA-N,-5.7,-5.2,-4.9
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.6,-2.8,-2.3
