ligand,E1,E2,E3
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-5.7,-6.1,-6.1
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.8,-2.5,-2.9
XLFWDASMENKTKL-UHFFFAOYSA-N,-5.6,-6.6,-6.1
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.0,-7.1,-7.9
HPNSFSBZBAHARI-RUDMXATFSA-N,-7.3,-7.2,-7.1
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-6.3,-6.1,-7.1
QSRHLIUOSXVKTG-YADHBBJMSA-N,-7.5,-7.7,-8.1
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.5,-4.6,-4.6
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-5.7,-5.2,-5.6
UCTRAOBQFUDCSR-SECBINFHSA-N,-5.7,-5.9,-6.6
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-6.9,-6.7,-8.3
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-3.1,-3.0,-3.0
UOMKBIIXHQIERR-UHFFFAOYSA-N,-7.1,-6.9,-8.2
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-6.8,-6.5,-7.2
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-7.1,-8.2,-8.8
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-7.1,-7.3,-6.4
WTDRDQBEARUVNC-LURJTMIESA-N,-5.9,-6.3,-6.6
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.5,-3.2,-3.2
YTGJWQPHMWSCST-GSVOUGTGSA-N,-4.5,-4.7,-4.8
NLORYLAYLIXTID-ISLYRVAYSA-N,-7.0,-6.6,-7.1
CZMRCDWAGMRECN-UGDNZRGBSA-N,-7.0,-7.0,-6.7
YMTINGFKWWXKFG-UHFFFAOYSA-N,-7.4,-7.2,-8.6
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-7.4,-7.7,-7.8
YNUMZJCKFQVSRH-HWKANZROSA-N,-5.8,-6.5,-6.1
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-3.7,-3.8,-3.7
