ligand,E1,E2,E3
XRECTZIEBJDKEO-UHFFFAOYSA-N,-6.0,-6.0,-5.2
RFKMCNOHBTXSMU-UHFFFAOYSA-N,-4.3,-4.3,-3.8
RQNADZJRELIICT-UHFFFAOYSA-N,-7.4,-7.7,-7.1
PHTUQLWOUWZIMZ-GZTJUZNOSA-N,-8.1,-7.6,-7.4
MYBLAOJMRYYKMS-PVFLNQBWSA-N,-7.7,-7.7,-7.5
FRPZMMHWLSIFAZ-UHFFFAOYSA-N,-5.3,-5.0,-5.3
LAHDERDHXJFFJU-ZWNKPRIXSA-N,-8.7,-9.1,-8.5
OYTKINVCDFNREN-UHFFFAOYSA-N,-5.0,-5.0,-4.4
VOIFKEWOFUNPBN-QIUUJYRFSA-N,-6.9,-7.2,-6.3
QBSGXIBYUQJHMJ-UHFFFAOYSA-N,-7.8,-8.2,-7.4
RNFNDJAIBTYOQL-UHFFFAOYSA-N,-5.0,-5.0,-3.7
KMSKQZKKOZQFFG-YXRRJAAWSA-N,-10.9,-10.6,-10.8
UVKZSORBKUEBAZ-UHFFFAOYSA-N,-7.3,-7.7,-7.7
COLNVLDHVKWLRT-QMMMGPOBSA-N,-6.3,-6.3,-5.7
VDANGULDQQJODZ-UHFFFAOYSA-N,-6.5,-6.2,-5.9
DLNKOYKMWOXYQA-IONNQARKSA-N,-5.8,-5.6,-5.3
WLJVXDMOQOGPHL-UHFFFAOYSA-N,-5.9,-5.8,-5.0
VVDLFTOOMLZFRO-UHFFFAOYSA-N,-7.5,-7.8,-7.8
UAUHEPXILIZYCU-ALHOSYKFSA-N,-8.1,-7.9,-7.7
QKDRXGFQVGOQKS-CRSSMBPESA-N,-8.8,-8.6,-8.6
RVMGXWBCQGAWBR-UHFFFAOYSA-N,-7.3,-7.4,-6.9
AHLPHDHHMVZTML-BYPYZUCNSA-N,-5.1,-5.1,-4.2
