ligand,E1,E2,E3
XRECTZIEBJDKEO-UHFFFAOYSA-N,-5.0,-5.0,-4.5
QBSGXIBYUQJHMJ-UHFFFAOYSA-N,-7.1,-6.9,-6.3
LAHDERDHXJFFJU-ZWNKPRIXSA-N,-7.0,-7.8,-6.5
COLNVLDHVKWLRT-QMMMGPOBSA-N,-6.0,-5.8,-4.9
RFKMCNOHBTXSMU-UHFFFAOYSA-N,-4.5,-3.7,-3.7
AHLPHDHHMVZTML-BYPYZUCNSA-N,-4.3,-4.7,-3.8
QKDRXGFQVGOQKS-CRSSMBPESA-N,-8.0,-8.1,-6.7
UVKZSORBKUEBAZ-UHFFFAOYSA-N,-6.8,-6.7,-5.5
DLNKOYKMWOXYQA-IONNQARKSA-N,-5.6,-5.1,-4.7
VOIFKEWOFUNPBN-QIUUJYRFSA-N,-5.2,-6.0,-5.3
MYBLAOJMRYYKMS-PVFLNQBWSA-N,-5.2,-5.7,-5.8
RNFNDJAIBTYOQL-UHFFFAOYSA-N,-4.3,-4.0,-3.7
PHTUQLWOUWZIMZ-GZTJUZNOSA-N,-6.7,-7.1,-6.0
KMSKQZKKOZQFFG-YXRRJAAWSA-N,-8.5,-9.1,-7.3
VDANGULDQQJODZ-UHFFFAOYSA-N,-5.9,-5.8,-5.2
FRPZMMHWLSIFAZ-UHFFFAOYSA-N,-5.6,-5.2,-4.8
RVMGXWBCQGAWBR-UHFFFAOYSA-N,-6.8,-6.3,-5.7
RQNADZJRELIICT-UHFFFAOYSA-N,-6.8,-6.8,-5.6
OYTKINVCDFNREN-UHFFFAOYSA-N,-4.4,-4.5,-3.9
WLJVXDMOQOGPHL-UHFFFAOYSA-N,-5.8,-5.1,-5.0
UAUHEPXILIZYCU-ALHOSYKFSA-N,-6.5,-7.6,-7.0
VVDLFTOOMLZFRO-UHFFFAOYSA-N,-6.0,-6.8,-6.3
