ligand,E1,E2,E3
VOIFKEWOFUNPBN-QIUUJYRFSA-N,-6.2,-6.2,-5.9
RNFNDJAIBTYOQL-UHFFFAOYSA-N,-4.4,-4.0,-4.1
XRECTZIEBJDKEO-UHFFFAOYSA-N,-5.1,-4.9,-5.0
QKDRXGFQVGOQKS-CRSSMBPESA-N,-7.7,-7.7,-8.1
OYTKINVCDFNREN-UHFFFAOYSA-N,-5.0,-4.3,-4.5
VDANGULDQQJODZ-UHFFFAOYSA-N,-6.2,-6.0,-6.2
FRPZMMHWLSIFAZ-UHFFFAOYSA-N,-5.0,-5.1,-5.1
WLJVXDMOQOGPHL-UHFFFAOYSA-N,-5.1,-5.5,-5.9
DLNKOYKMWOXYQA-IONNQARKSA-N,-5.4,-5.3,-5.9
QBSGXIBYUQJHMJ-UHFFFAOYSA-N,-7.3,-7.5,-8.1
PHTUQLWOUWZIMZ-GZTJUZNOSA-N,-6.8,-6.9,-7.6
RFKMCNOHBTXSMU-UHFFFAOYSA-N,-4.4,-4.4,-4.4
MYBLAOJMRYYKMS-PVFLNQBWSA-N,-6.2,-7.6,-6.4
RQNADZJRELIICT-UHFFFAOYSA-N,-6.7,-6.7,-7.9
VVDLFTOOMLZFRO-UHFFFAOYSA-N,-7.0,-7.2,-7.8
LAHDERDHXJFFJU-ZWNKPRIXSA-N,-7.7,-7.6,-7.9
UAUHEPXILIZYCU-ALHOSYKFSA-N,-7.3,-7.3,-7.1
KMSKQZKKOZQFFG-YXRRJAAWSA-N,-8.8,-9.5,-9.5
AHLPHDHHMVZTML-BYPYZUCNSA-N,-4.3,-4.8,-4.6
COLNVLDHVKWLRT-QMMMGPOBSA-N,-5.4,-5.7,-6.1
RVMGXWBCQGAWBR-UHFFFAOYSA-N,-6.2,-7.0,-7.3
UVKZSORBKUEBAZ-UHFFFAOYSA-N,-6.7,-6.7,-7.0
