ligand,E1,E2,E3
RQNADZJRELIICT-UHFFFAOYSA-N,-5.5,-6.1,-6.1
QKDRXGFQVGOQKS-CRSSMBPESA-N,-6.0,-6.5,-7.2
LAHDERDHXJFFJU-ZWNKPRIXSA-N,-5.8,-6.8,-6.9
RVMGXWBCQGAWBR-UHFFFAOYSA-N,-5.4,-5.8,-6.1
RFKMCNOHBTXSMU-UHFFFAOYSA-N,-3.8,-3.7,-3.7
DLNKOYKMWOXYQA-IONNQARKSA-N,-4.3,-4.9,-4.9
QBSGXIBYUQJHMJ-UHFFFAOYSA-N,-6.1,-6.4,-6.6
MYBLAOJMRYYKMS-PVFLNQBWSA-N,-4.7,-5.2,-6.2
AHLPHDHHMVZTML-BYPYZUCNSA-N,-3.5,-3.9,-3.8
RNFNDJAIBTYOQL-UHFFFAOYSA-N,-3.2,-3.6,-3.8
PHTUQLWOUWZIMZ-GZTJUZNOSA-N,-5.8,-6.2,-6.6
UVKZSORBKUEBAZ-UHFFFAOYSA-N,-5.3,-6.7,-6.7
VVDLFTOOMLZFRO-UHFFFAOYSA-N,-5.5,-5.7,-6.4
UAUHEPXILIZYCU-ALHOSYKFSA-N,-6.1,-6.2,-7.0
VOIFKEWOFUNPBN-QIUUJYRFSA-N,-4.7,-5.1,-5.5
FRPZMMHWLSIFAZ-UHFFFAOYSA-N,-4.1,-4.4,-4.6
VDANGULDQQJODZ-UHFFFAOYSA-N,-4.8,-5.3,-5.5
COLNVLDHVKWLRT-QMMMGPOBSA-N,-4.7,-4.9,-5.4
XRECTZIEBJDKEO-UHFFFAOYSA-N,-4.2,-4.6,-4.5
WLJVXDMOQOGPHL-UHFFFAOYSA-N,-4.6,-4.8,-5.0
KMSKQZKKOZQFFG-YXRRJAAWSA-N,-6.8,-8.2,-8.2
OYTKINVCDFNREN-UHFFFAOYSA-N,-3.5,-4.1,-3.8
