ligand,E1,E2,E3
AHLPHDHHMVZTML-BYPYZUCNSA-N,-5.0,-4.1,-4.2
VOIFKEWOFUNPBN-QIUUJYRFSA-N,-6.4,-5.7,-5.7
DLNKOYKMWOXYQA-IONNQARKSA-N,-5.6,-5.2,-5.4
UVKZSORBKUEBAZ-UHFFFAOYSA-N,-5.4,-5.7,-5.9
RNFNDJAIBTYOQL-UHFFFAOYSA-N,-4.4,-4.3,-4.3
XRECTZIEBJDKEO-UHFFFAOYSA-N,-5.1,-4.8,-4.5
FRPZMMHWLSIFAZ-UHFFFAOYSA-N,-4.6,-4.3,-4.3
LAHDERDHXJFFJU-ZWNKPRIXSA-N,-5.8,-6.5,-6.3
COLNVLDHVKWLRT-QMMMGPOBSA-N,-6.2,-5.1,-5.1
KMSKQZKKOZQFFG-YXRRJAAWSA-N,-8.1,-8.1,-7.8
VDANGULDQQJODZ-UHFFFAOYSA-N,-5.1,-4.5,-4.7
RQNADZJRELIICT-UHFFFAOYSA-N,-6.2,-5.8,-5.8
VVDLFTOOMLZFRO-UHFFFAOYSA-N,-6.3,-6.1,-6.6
PHTUQLWOUWZIMZ-GZTJUZNOSA-N,-5.1,-5.4,-5.6
OYTKINVCDFNREN-UHFFFAOYSA-N,-4.4,-4.1,-4.0
QBSGXIBYUQJHMJ-UHFFFAOYSA-N,-7.0,-5.8,-5.6
RVMGXWBCQGAWBR-UHFFFAOYSA-N,-6.2,-5.9,-5.8
WLJVXDMOQOGPHL-UHFFFAOYSA-N,-5.7,-4.6,-4.6
MYBLAOJMRYYKMS-PVFLNQBWSA-N,-5.9,-5.2,-5.3
QKDRXGFQVGOQKS-CRSSMBPESA-N,-6.2,-5.8,-6.0
UAUHEPXILIZYCU-ALHOSYKFSA-N,-5.6,-5.8,-5.8
RFKMCNOHBTXSMU-UHFFFAOYSA-N,-4.4,-4.2,-4.1
