ligand,E1,E2,E3
FRPZMMHWLSIFAZ-UHFFFAOYSA-N,-5.4,-5.0,-5.1
KMSKQZKKOZQFFG-YXRRJAAWSA-N,-10.9,-10.6,-10.5
QKDRXGFQVGOQKS-CRSSMBPESA-N,-8.2,-8.6,-8.6
RFKMCNOHBTXSMU-UHFFFAOYSA-N,-4.3,-4.3,-3.8
PHTUQLWOUWZIMZ-GZTJUZNOSA-N,-7.6,-7.7,-7.5
LAHDERDHXJFFJU-ZWNKPRIXSA-N,-8.7,-9.1,-8.6
XRECTZIEBJDKEO-UHFFFAOYSA-N,-5.7,-6.0,-5.2
WLJVXDMOQOGPHL-UHFFFAOYSA-N,-5.9,-5.8,-5.0
RQNADZJRELIICT-UHFFFAOYSA-N,-7.8,-7.7,-7.1
UVKZSORBKUEBAZ-UHFFFAOYSA-N,-7.4,-7.7,-7.4
COLNVLDHVKWLRT-QMMMGPOBSA-N,-6.0,-6.3,-5.7
VVDLFTOOMLZFRO-UHFFFAOYSA-N,-7.8,-7.8,-7.8
VOIFKEWOFUNPBN-QIUUJYRFSA-N,-6.8,-7.0,-6.4
MYBLAOJMRYYKMS-PVFLNQBWSA-N,-7.7,-7.7,-7.6
AHLPHDHHMVZTML-BYPYZUCNSA-N,-4.6,-5.0,-4.2
UAUHEPXILIZYCU-ALHOSYKFSA-N,-8.1,-8.6,-7.7
OYTKINVCDFNREN-UHFFFAOYSA-N,-5.0,-5.1,-4.4
RNFNDJAIBTYOQL-UHFFFAOYSA-N,-5.0,-5.0,-3.7
QBSGXIBYUQJHMJ-UHFFFAOYSA-N,-6.9,-8.2,-7.4
DLNKOYKMWOXYQA-IONNQARKSA-N,-5.8,-5.6,-5.3
RVMGXWBCQGAWBR-UHFFFAOYSA-N,-7.8,-7.5,-6.9
VDANGULDQQJODZ-UHFFFAOYSA-N,-6.5,-6.2,-5.5
