ligand,E1,E2,E3
UVKZSORBKUEBAZ-UHFFFAOYSA-N,-5.8,-5.9,-6.5
COLNVLDHVKWLRT-QMMMGPOBSA-N,-5.2,-5.0,-5.2
AHLPHDHHMVZTML-BYPYZUCNSA-N,-3.9,-4.4,-4.1
PHTUQLWOUWZIMZ-GZTJUZNOSA-N,-5.8,-5.9,-6.2
VVDLFTOOMLZFRO-UHFFFAOYSA-N,-5.7,-6.4,-5.9
RFKMCNOHBTXSMU-UHFFFAOYSA-N,-3.6,-4.1,-4.0
XRECTZIEBJDKEO-UHFFFAOYSA-N,-4.6,-4.8,-4.5
QKDRXGFQVGOQKS-CRSSMBPESA-N,-6.6,-6.7,-6.9
FRPZMMHWLSIFAZ-UHFFFAOYSA-N,-4.1,-4.2,-4.3
VOIFKEWOFUNPBN-QIUUJYRFSA-N,-5.1,-5.4,-5.3
WLJVXDMOQOGPHL-UHFFFAOYSA-N,-5.2,-4.7,-5.1
QBSGXIBYUQJHMJ-UHFFFAOYSA-N,-6.0,-5.8,-6.0
KMSKQZKKOZQFFG-YXRRJAAWSA-N,-8.0,-8.3,-8.1
UAUHEPXILIZYCU-ALHOSYKFSA-N,-5.4,-6.7,-5.8
RNFNDJAIBTYOQL-UHFFFAOYSA-N,-3.2,-4.1,-3.6
RQNADZJRELIICT-UHFFFAOYSA-N,-6.1,-5.6,-6.6
MYBLAOJMRYYKMS-PVFLNQBWSA-N,-5.5,-5.9,-5.4
DLNKOYKMWOXYQA-IONNQARKSA-N,-4.9,-4.5,-5.4
LAHDERDHXJFFJU-ZWNKPRIXSA-N,-5.7,-6.4,-6.7
OYTKINVCDFNREN-UHFFFAOYSA-N,-3.9,-4.1,-4.0
RVMGXWBCQGAWBR-UHFFFAOYSA-N,-6.4,-5.9,-6.3
VDANGULDQQJODZ-UHFFFAOYSA-N,-4.7,-4.5,-5.1
