ligand,E1,E2,E3
OCAXFDULERPAJM-BQJUDKOJSA-N,-7.5,-7.5,-7.4
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-6.1,-6.2,-6.4
XVQUOJBERHHONY-SECBINFHSA-N,-4.5,-4.8,-5.1
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-5.1,-5.2,-5.3
LKACJLUUJRMGFK-UHFFFAOYSA-N,-5.4,-4.9,-5.4
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.4,-2.2,-2.4
WVDDGKGOMKODPV-UHFFFAOYSA-N,-5.0,-4.9,-5.0
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.3,-2.2,-2.4
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-4.2,-4.0,-4.6
IKYIXZSIKOYSLD-NSHDSACASA-N,-7.0,-7.1,-7.4
FFKUDWZICMJVPA-UHFFFAOYSA-N,-6.1,-5.9,-6.8
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-3.6,-3.7,-3.5
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-4.7,-4.8,-5.2
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-8.0,-7.5,-8.5
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-5.5,-5.3,-5.6
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-5.0,-5.0,-5.2
OUYCCCASQSFEME-QMMMGPOBSA-N,-5.7,-5.7,-6.6
GIJXKZJWITVLHI-PMOLBWCYSA-N,-7.4,-6.9,-7.9
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-5.7,-5.6,-5.6
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-5.8,-5.5,-5.6
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-5.1,-5.0,-5.0
PMRYVIKBURPHAH-UHFFFAOYSA-N,-3.8,-3.5,-4.0
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-3.7,-4.0,-3.7
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.6,-4.4,-4.7
