ligand,E1,E2,E3
OCAXFDULERPAJM-BQJUDKOJSA-N,-7.5,-7.5,-7.4
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.4,-2.2,-2.4
XVQUOJBERHHONY-SECBINFHSA-N,-4.5,-4.8,-5.0
PMRYVIKBURPHAH-UHFFFAOYSA-N,-3.8,-3.5,-4.0
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-5.7,-5.6,-5.6
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.3,-2.2,-2.4
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-3.6,-3.7,-3.5
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-5.8,-6.2,-6.4
FFKUDWZICMJVPA-UHFFFAOYSA-N,-6.1,-5.9,-6.8
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-4.6,-4.5,-4.5
OUYCCCASQSFEME-QMMMGPOBSA-N,-5.6,-5.7,-6.6
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-5.2,-5.2,-5.3
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-8.1,-7.5,-8.7
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-5.8,-5.8,-5.6
GIJXKZJWITVLHI-PMOLBWCYSA-N,-7.4,-7.0,-8.0
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-5.0,-4.9,-5.2
WVDDGKGOMKODPV-UHFFFAOYSA-N,-5.0,-4.9,-5.0
IKYIXZSIKOYSLD-NSHDSACASA-N,-6.8,-7.1,-7.4
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-5.1,-4.9,-5.0
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.5,-4.4,-4.7
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-4.9,-5.3,-5.1
LKACJLUUJRMGFK-UHFFFAOYSA-N,-5.4,-4.9,-5.4
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-3.8,-4.0,-3.7
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-5.5,-5.3,-5.6
