ligand,E1,E2,E3
OUYCCCASQSFEME-QMMMGPOBSA-N,-5.8,-5.2,-5.9
WVDDGKGOMKODPV-UHFFFAOYSA-N,-4.9,-4.5,-4.5
IKYIXZSIKOYSLD-NSHDSACASA-N,-6.7,-5.8,-5.4
LKACJLUUJRMGFK-UHFFFAOYSA-N,-5.1,-4.1,-3.5
XVQUOJBERHHONY-SECBINFHSA-N,-5.0,-4.4,-4.5
OCAXFDULERPAJM-BQJUDKOJSA-N,-7.0,-6.1,-6.1
PMRYVIKBURPHAH-UHFFFAOYSA-N,-3.6,-3.4,-3.0
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.1,-2.1,-2.2
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-4.0,-4.0,-3.5
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-5.0,-4.5,-4.2
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.1,-2.1,-2.2
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-4.7,-4.8,-4.2
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-5.1,-4.7,-4.5
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-5.1,-4.5,-4.4
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-3.6,-3.6,-2.8
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-5.0,-4.7,-4.5
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-5.4,-4.6,-4.7
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.1,-4.1,-3.1
FFKUDWZICMJVPA-UHFFFAOYSA-N,-5.8,-5.5,-5.2
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-7.0,-7.1,-5.8
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-3.5,-3.2,-3.4
GIJXKZJWITVLHI-PMOLBWCYSA-N,-6.7,-6.1,-6.0
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-6.0,-5.2,-5.4
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-4.9,-5.1,-4.1
