ligand,E1,E2,E3
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-4.8,-4.8,-3.8
XVQUOJBERHHONY-SECBINFHSA-N,-5.0,-4.7,-4.8
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-5.7,-5.7,-4.9
GIJXKZJWITVLHI-PMOLBWCYSA-N,-8.5,-8.4,-8.5
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-4.4,-4.5,-4.2
LKACJLUUJRMGFK-UHFFFAOYSA-N,-6.5,-6.1,-4.9
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-6.5,-7.0,-6.2
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.4,-2.4,-2.1
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-5.8,-5.6,-4.8
PMRYVIKBURPHAH-UHFFFAOYSA-N,-4.3,-4.2,-3.5
OCAXFDULERPAJM-BQJUDKOJSA-N,-8.8,-8.0,-8.7
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.8,-5.1,-4.0
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-6.8,-6.8,-5.9
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-6.0,-6.3,-5.0
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.4,-2.4,-2.2
IKYIXZSIKOYSLD-NSHDSACASA-N,-7.7,-7.8,-7.4
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-9.1,-8.7,-8.6
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-5.7,-6.0,-4.9
WVDDGKGOMKODPV-UHFFFAOYSA-N,-5.4,-4.9,-4.3
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-7.2,-6.8,-6.6
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-6.3,-6.6,-5.5
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-5.6,-5.7,-4.4
FFKUDWZICMJVPA-UHFFFAOYSA-N,-7.1,-7.1,-5.9
OUYCCCASQSFEME-QMMMGPOBSA-N,-6.5,-6.5,-6.0
