ligand,E1,E2,E3
XVQUOJBERHHONY-SECBINFHSA-N,-5.0,-4.3,-4.0
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.5,-2.0,-2.6
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-5.6,-5.6,-5.6
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-5.4,-5.6,-4.5
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-4.1,-4.6,-4.3
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-4.6,-4.6,-4.6
GIJXKZJWITVLHI-PMOLBWCYSA-N,-8.1,-7.5,-6.1
IKYIXZSIKOYSLD-NSHDSACASA-N,-7.5,-7.1,-5.7
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-3.2,-3.6,-3.4
LKACJLUUJRMGFK-UHFFFAOYSA-N,-4.3,-4.6,-4.4
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-4.5,-5.0,-4.4
OCAXFDULERPAJM-BQJUDKOJSA-N,-8.1,-7.2,-6.3
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-5.5,-5.1,-5.3
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-5.3,-5.2,-5.4
OUYCCCASQSFEME-QMMMGPOBSA-N,-6.0,-5.6,-5.2
WVDDGKGOMKODPV-UHFFFAOYSA-N,-5.2,-4.2,-4.4
FFKUDWZICMJVPA-UHFFFAOYSA-N,-5.6,-6.1,-5.2
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.8,-4.1,-3.9
PMRYVIKBURPHAH-UHFFFAOYSA-N,-3.6,-3.4,-3.2
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-4.3,-4.8,-4.5
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-3.6,-4.0,-3.2
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-7.9,-8.2,-6.7
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.2,-2.0,-2.4
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-4.7,-4.8,-4.7
