ligand,E1,E2,E3
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-5.2,-5.2,-5.3
FFKUDWZICMJVPA-UHFFFAOYSA-N,-6.2,-5.9,-6.7
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-5.5,-5.3,-5.6
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-5.7,-5.6,-5.6
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-8.1,-7.4,-8.5
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-5.0,-5.0,-5.0
WVDDGKGOMKODPV-UHFFFAOYSA-N,-5.0,-4.9,-5.0
OCAXFDULERPAJM-BQJUDKOJSA-N,-7.5,-7.5,-7.4
GIJXKZJWITVLHI-PMOLBWCYSA-N,-7.4,-6.9,-8.0
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.3,-2.2,-2.4
OUYCCCASQSFEME-QMMMGPOBSA-N,-5.7,-5.6,-6.6
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-4.9,-5.3,-5.3
LKACJLUUJRMGFK-UHFFFAOYSA-N,-5.3,-4.9,-5.5
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-5.0,-5.0,-5.2
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-3.8,-4.0,-3.7
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-6.1,-6.0,-6.3
IKYIXZSIKOYSLD-NSHDSACASA-N,-7.0,-7.1,-7.4
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.5,-4.4,-4.7
PMRYVIKBURPHAH-UHFFFAOYSA-N,-3.8,-3.5,-4.0
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-4.6,-4.5,-4.5
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.4,-2.2,-2.4
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-5.8,-5.5,-5.6
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-3.9,-3.7,-3.5
XVQUOJBERHHONY-SECBINFHSA-N,-4.6,-4.8,-5.2
