ligand,E1,E2,E3
OCAXFDULERPAJM-BQJUDKOJSA-N,-6.3,-6.0,-6.1
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.1,-2.0,-2.0
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-4.2,-2.9,-3.1
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-6.0,-4.5,-4.2
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-5.3,-3.7,-3.8
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-5.0,-3.9,-4.0
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-6.0,-4.7,-4.8
LKACJLUUJRMGFK-UHFFFAOYSA-N,-4.1,-3.7,-3.8
XVQUOJBERHHONY-SECBINFHSA-N,-4.2,-3.8,-3.8
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-5.7,-4.1,-4.4
PMRYVIKBURPHAH-UHFFFAOYSA-N,-3.6,-2.9,-2.9
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-5.7,-4.2,-4.1
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.0,-2.0,-2.0
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-4.4,-2.8,-3.0
IKYIXZSIKOYSLD-NSHDSACASA-N,-6.2,-5.4,-5.2
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-4.8,-3.4,-3.5
WVDDGKGOMKODPV-UHFFFAOYSA-N,-4.6,-3.8,-4.0
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.1,-3.5,-3.3
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-5.1,-4.8,-4.7
OUYCCCASQSFEME-QMMMGPOBSA-N,-5.7,-4.6,-4.6
FFKUDWZICMJVPA-UHFFFAOYSA-N,-6.5,-5.0,-4.8
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-5.3,-4.1,-4.3
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-7.2,-6.6,-6.0
GIJXKZJWITVLHI-PMOLBWCYSA-N,-6.0,-5.6,-6.0
