ligand,E1,E2,E3
WSPOMRSOLSGNFJ-AUWJEWJLSA-N,-7.7,-7.9,-7.7
JMOVFFLYGIQXMM-UHFFFAOYSA-N,-6.6,-6.6,-6.1
XBJWOGLKABXFJE-YFKPBYRVSA-N,-6.5,-6.7,-5.6
BYFMCKSPFYVMOU-UHFFFAOYSA-N,-8.1,-8.3,-8.3
DHMQDGOQFOQNFH-UHFFFAOYSA-N,-4.1,-4.1,-3.3
XSQUKJJJFZCRTK-NJFSPNSNSA-N,-3.7,-3.6,-2.9
FBPFZTCFMRRESA-KVTDHHQDSA-N,-6.1,-6.3,-5.2
QLGIFPJNYPWBMQ-UHFFFAOYSA-N,-6.8,-7.1,-7.3
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,-7.3,-8.8,-7.3
SEEPANYCNGTZFQ-UHFFFAOYSA-N,-7.2,-7.0,-7.1
KWIUHFFTVRNATP-UHFFFAOYSA-N,-4.4,-4.4,-3.8
ZJAOAACCNHFJAH-UHFFFAOYSA-N,-5.5,-5.5,-4.4
ZQDWXGKKHFNSQK-OAQYLSRUSA-N,-8.5,-7.4,-7.7
KCXVZYZYPLLWCC-UHFFFAOYSA-N,-6.4,-6.7,-6.1
IPEHBUMCGVEMRF-UHFFFAOYSA-N,-5.6,-5.9,-5.1
XOAAWQZATWQOTB-UHFFFAOYSA-N,-4.7,-4.8,-4.1
XEFQLINVKFYRCS-UHFFFAOYSA-N,-8.0,-7.4,-6.7
NUKYPUAOHBNCPY-UHFFFAOYSA-N,-4.7,-4.7,-3.9
KHAUBYTYGDOYRU-IRXASZMISA-N,-7.9,-7.6,-7.7
XXEPPPIWZFICOJ-NSHDSACASA-N,-6.3,-5.9,-5.6
RTRQQBHATOEIAF-UUOKFMHZSA-N,-7.7,-8.0,-7.6
CVSVTCORWBXHQV-UHFFFAOYSA-N,-5.9,-5.9,-4.6
NFACJZMKEDPNKN-GSVOUGTGSA-N,-5.4,-4.9,-4.8
YFESJHPTNWYOCO-UHFFFAOYSA-N,-5.0,-5.0,-4.0
POJWUDADGALRAB-SFOWXEAESA-N,-6.7,-6.8,-5.8
