ligand,E1,E2,E3
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,-7.0,-7.8,-6.8
XSQUKJJJFZCRTK-NJFSPNSNSA-N,-3.0,-2.9,-2.9
NUKYPUAOHBNCPY-UHFFFAOYSA-N,-4.3,-4.0,-4.3
ZQDWXGKKHFNSQK-OAQYLSRUSA-N,-7.3,-6.7,-7.2
KCXVZYZYPLLWCC-UHFFFAOYSA-N,-5.3,-6.0,-5.5
XBJWOGLKABXFJE-YFKPBYRVSA-N,-5.2,-5.1,-5.4
JMOVFFLYGIQXMM-UHFFFAOYSA-N,-5.8,-6.3,-6.7
KWIUHFFTVRNATP-UHFFFAOYSA-N,-3.9,-3.7,-3.5
YFESJHPTNWYOCO-UHFFFAOYSA-N,-4.4,-4.2,-4.5
XOAAWQZATWQOTB-UHFFFAOYSA-N,-4.1,-3.6,-3.9
IPEHBUMCGVEMRF-UHFFFAOYSA-N,-4.7,-4.6,-4.6
XEFQLINVKFYRCS-UHFFFAOYSA-N,-6.1,-6.3,-7.0
WSPOMRSOLSGNFJ-AUWJEWJLSA-N,-6.6,-6.8,-7.8
DHMQDGOQFOQNFH-UHFFFAOYSA-N,-3.3,-3.4,-3.1
FBPFZTCFMRRESA-KVTDHHQDSA-N,-5.0,-5.2,-5.1
XXEPPPIWZFICOJ-NSHDSACASA-N,-5.8,-6.1,-6.2
SEEPANYCNGTZFQ-UHFFFAOYSA-N,-7.1,-6.6,-7.4
QLGIFPJNYPWBMQ-UHFFFAOYSA-N,-6.5,-7.2,-8.0
NFACJZMKEDPNKN-GSVOUGTGSA-N,-4.7,-4.5,-4.7
POJWUDADGALRAB-SFOWXEAESA-N,-5.6,-5.6,-5.8
ZJAOAACCNHFJAH-UHFFFAOYSA-N,-4.2,-4.2,-3.9
BYFMCKSPFYVMOU-UHFFFAOYSA-N,-6.8,-7.0,-8.0
KHAUBYTYGDOYRU-IRXASZMISA-N,-7.0,-7.3,-6.9
RTRQQBHATOEIAF-UUOKFMHZSA-N,-6.4,-7.0,-6.6
CVSVTCORWBXHQV-UHFFFAOYSA-N,-4.9,-5.1,-4.9
