ligand,E1,E2,E3
ZQDWXGKKHFNSQK-OAQYLSRUSA-N,-6.5,-5.5,-5.7
XSQUKJJJFZCRTK-NJFSPNSNSA-N,-3.0,-2.8,-2.5
KWIUHFFTVRNATP-UHFFFAOYSA-N,-3.4,-3.3,-2.7
WSPOMRSOLSGNFJ-AUWJEWJLSA-N,-6.6,-5.6,-5.7
NFACJZMKEDPNKN-GSVOUGTGSA-N,-4.5,-4.1,-3.6
KHAUBYTYGDOYRU-IRXASZMISA-N,-6.4,-5.8,-5.5
RTRQQBHATOEIAF-UUOKFMHZSA-N,-6.2,-5.5,-5.3
IPEHBUMCGVEMRF-UHFFFAOYSA-N,-4.4,-4.2,-3.9
CVSVTCORWBXHQV-UHFFFAOYSA-N,-4.7,-4.7,-3.8
XEFQLINVKFYRCS-UHFFFAOYSA-N,-6.4,-5.9,-5.6
NUKYPUAOHBNCPY-UHFFFAOYSA-N,-3.8,-3.6,-3.4
YFESJHPTNWYOCO-UHFFFAOYSA-N,-3.8,-3.7,-3.0
XOAAWQZATWQOTB-UHFFFAOYSA-N,-3.7,-3.8,-3.1
KCXVZYZYPLLWCC-UHFFFAOYSA-N,-4.8,-4.3,-4.4
XBJWOGLKABXFJE-YFKPBYRVSA-N,-4.9,-4.5,-4.2
FBPFZTCFMRRESA-KVTDHHQDSA-N,-4.6,-4.7,-4.1
POJWUDADGALRAB-SFOWXEAESA-N,-5.6,-5.0,-4.7
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,-6.4,-5.7,-5.9
XXEPPPIWZFICOJ-NSHDSACASA-N,-5.5,-5.1,-4.6
JMOVFFLYGIQXMM-UHFFFAOYSA-N,-6.2,-5.1,-5.1
QLGIFPJNYPWBMQ-UHFFFAOYSA-N,-7.0,-6.8,-5.4
ZJAOAACCNHFJAH-UHFFFAOYSA-N,-3.8,-4.0,-3.6
SEEPANYCNGTZFQ-UHFFFAOYSA-N,-6.7,-5.8,-5.7
BYFMCKSPFYVMOU-UHFFFAOYSA-N,-7.0,-6.4,-6.2
DHMQDGOQFOQNFH-UHFFFAOYSA-N,-3.1,-3.2,-3.0
