ligand,E1,E2,E3
CVSVTCORWBXHQV-UHFFFAOYSA-N,-5.0,-4.8,-4.8
XXEPPPIWZFICOJ-NSHDSACASA-N,-4.9,-4.8,-4.9
NUKYPUAOHBNCPY-UHFFFAOYSA-N,-4.3,-3.8,-3.5
BYFMCKSPFYVMOU-UHFFFAOYSA-N,-6.5,-6.5,-6.6
POJWUDADGALRAB-SFOWXEAESA-N,-5.8,-5.0,-5.2
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,-6.2,-5.9,-5.9
XEFQLINVKFYRCS-UHFFFAOYSA-N,-5.9,-5.6,-5.5
ZJAOAACCNHFJAH-UHFFFAOYSA-N,-4.3,-4.3,-4.3
NFACJZMKEDPNKN-GSVOUGTGSA-N,-4.1,-4.3,-4.3
SEEPANYCNGTZFQ-UHFFFAOYSA-N,-5.4,-5.6,-5.6
KHAUBYTYGDOYRU-IRXASZMISA-N,-6.0,-5.6,-5.5
KWIUHFFTVRNATP-UHFFFAOYSA-N,-4.1,-3.7,-3.4
FBPFZTCFMRRESA-KVTDHHQDSA-N,-5.1,-4.9,-4.9
YFESJHPTNWYOCO-UHFFFAOYSA-N,-4.4,-3.6,-3.6
RTRQQBHATOEIAF-UUOKFMHZSA-N,-5.7,-6.6,-6.4
XOAAWQZATWQOTB-UHFFFAOYSA-N,-4.1,-3.8,-3.9
QLGIFPJNYPWBMQ-UHFFFAOYSA-N,-6.4,-5.7,-5.6
KCXVZYZYPLLWCC-UHFFFAOYSA-N,-5.5,-5.8,-5.4
XSQUKJJJFZCRTK-NJFSPNSNSA-N,-3.0,-3.2,-3.2
IPEHBUMCGVEMRF-UHFFFAOYSA-N,-5.2,-4.7,-4.5
JMOVFFLYGIQXMM-UHFFFAOYSA-N,-4.7,-5.4,-5.6
DHMQDGOQFOQNFH-UHFFFAOYSA-N,-3.5,-3.6,-3.6
ZQDWXGKKHFNSQK-OAQYLSRUSA-N,-5.7,-6.2,-6.6
WSPOMRSOLSGNFJ-AUWJEWJLSA-N,-5.3,-6.1,-6.3
XBJWOGLKABXFJE-YFKPBYRVSA-N,-4.7,-5.0,-5.1
