ligand,E1,E2,E3
DHMQDGOQFOQNFH-UHFFFAOYSA-N,-4.1,-4.1,-3.3
KHAUBYTYGDOYRU-IRXASZMISA-N,-7.7,-7.6,-7.6
FBPFZTCFMRRESA-KVTDHHQDSA-N,-6.1,-6.1,-5.5
NUKYPUAOHBNCPY-UHFFFAOYSA-N,-4.7,-4.7,-3.9
XXEPPPIWZFICOJ-NSHDSACASA-N,-6.3,-6.0,-5.6
XSQUKJJJFZCRTK-NJFSPNSNSA-N,-3.7,-3.6,-3.4
ZJAOAACCNHFJAH-UHFFFAOYSA-N,-5.0,-5.5,-4.4
IPEHBUMCGVEMRF-UHFFFAOYSA-N,-6.0,-6.0,-5.1
ZQDWXGKKHFNSQK-OAQYLSRUSA-N,-7.9,-8.1,-7.6
WSPOMRSOLSGNFJ-AUWJEWJLSA-N,-7.8,-7.8,-7.7
JMOVFFLYGIQXMM-UHFFFAOYSA-N,-6.6,-6.6,-6.1
BYFMCKSPFYVMOU-UHFFFAOYSA-N,-8.1,-8.3,-8.3
YFESJHPTNWYOCO-UHFFFAOYSA-N,-4.7,-5.0,-3.8
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,-8.2,-8.8,-7.2
QLGIFPJNYPWBMQ-UHFFFAOYSA-N,-7.2,-7.3,-7.2
KCXVZYZYPLLWCC-UHFFFAOYSA-N,-6.6,-6.7,-5.8
XEFQLINVKFYRCS-UHFFFAOYSA-N,-8.0,-7.3,-6.8
NFACJZMKEDPNKN-GSVOUGTGSA-N,-5.5,-5.5,-4.9
POJWUDADGALRAB-SFOWXEAESA-N,-6.7,-6.8,-5.5
SEEPANYCNGTZFQ-UHFFFAOYSA-N,-7.2,-7.0,-7.1
CVSVTCORWBXHQV-UHFFFAOYSA-N,-5.8,-5.9,-4.7
KWIUHFFTVRNATP-UHFFFAOYSA-N,-4.2,-4.4,-3.8
XOAAWQZATWQOTB-UHFFFAOYSA-N,-4.5,-4.8,-4.1
XBJWOGLKABXFJE-YFKPBYRVSA-N,-6.3,-6.9,-5.6
RTRQQBHATOEIAF-UUOKFMHZSA-N,-7.7,-8.0,-7.7
