ligand,E1,E2,E3
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.8,-4.7,-3.9
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-7.9,-7.7,-7.4
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.6,-5.2,-4.1
JZWFDVDETGFGFC-UHFFFAOYSA-N,-7.0,-7.2,-6.7
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-5.2,-5.0,-4.1
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-10.2,-8.9,-10.2
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.2,-5.8,-5.2
VJOVAKSZILJDBB-UHFFFAOYSA-N,-4.2,-4.0,-4.0
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-8.3,-8.3,-7.4
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.9,-5.8,-5.4
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-8.5,-8.0,-8.5
FVIGODVHAVLZOO-UHFFFAOYSA-N,-4.3,-4.6,-4.1
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-5.3,-5.3,-4.5
HJXMNVQARNZTEE-NSHDSACASA-N,-7.1,-6.3,-6.2
NGXUUAFYUCOICP-UHFFFAOYSA-N,-6.0,-6.0,-5.2
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-6.3,-7.0,-6.2
KJHOZAZQWVKILO-UHFFFAOYSA-N,-7.0,-7.6,-6.2
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-5.3,-5.3,-4.3
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-7.5,-7.6,-7.6
YQNFBOJPTAXAKV-OMCISZLKSA-N,-6.4,-6.6,-6.3
LTINPJMVDKPJJI-PBXRRBTRSA-N,-5.5,-5.5,-4.4
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-7.3,-8.1,-7.8
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-5.9,-6.4,-6.1
HZTMGWSBSDLALI-UHFFFAOYSA-N,-7.7,-7.6,-7.3
