ligand,E1,E2,E3
RATGSRSDPNECNO-QMMMGPOBSA-N,-4.9,-4.3,-4.6
HJXMNVQARNZTEE-NSHDSACASA-N,-7.0,-5.2,-5.9
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-6.8,-6.9,-6.5
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-5.5,-4.9,-4.0
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-6.9,-6.0,-6.1
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.3,-4.1,-4.3
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-6.0,-5.3,-6.1
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.7,-6.1,-5.6
HZTMGWSBSDLALI-UHFFFAOYSA-N,-5.4,-5.1,-5.1
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-6.4,-5.7,-5.2
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-4.7,-4.2,-4.7
VJOVAKSZILJDBB-UHFFFAOYSA-N,-4.8,-3.6,-3.4
LTINPJMVDKPJJI-PBXRRBTRSA-N,-3.8,-4.0,-3.8
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.3,-4.1,-4.2
FVIGODVHAVLZOO-UHFFFAOYSA-N,-3.9,-3.7,-3.5
KJHOZAZQWVKILO-UHFFFAOYSA-N,-5.7,-5.5,-5.0
YQNFBOJPTAXAKV-OMCISZLKSA-N,-4.9,-4.6,-4.6
NGXUUAFYUCOICP-UHFFFAOYSA-N,-5.2,-4.4,-4.8
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.1,-4.4,-3.4
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-5.8,-5.8,-5.0
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-3.7,-3.8,-2.8
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-5.5,-5.2,-4.8
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-6.6,-5.5,-5.9
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.6,-5.0,-4.7
