ligand,E1,E2,E3
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.2,-5.8,-5.9
FVIGODVHAVLZOO-UHFFFAOYSA-N,-3.7,-4.2,-4.2
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-5.7,-6.2,-6.3
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.7,-4.7,-4.7
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.5,-5.6,-6.0
NGXUUAFYUCOICP-UHFFFAOYSA-N,-5.4,-5.2,-6.3
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.1,-5.4,-5.8
KJHOZAZQWVKILO-UHFFFAOYSA-N,-5.9,-5.9,-6.1
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-6.8,-7.1,-7.4
HJXMNVQARNZTEE-NSHDSACASA-N,-5.9,-6.2,-6.8
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.0,-4.4,-4.6
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.4,-4.8,-4.9
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-7.8,-7.3,-7.8
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-7.0,-7.4,-7.9
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-4.5,-4.6,-5.1
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.6,-4.3,-4.1
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.4,-4.5,-4.4
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-8.4,-8.3,-8.8
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.3,-6.7,-6.8
HZTMGWSBSDLALI-UHFFFAOYSA-N,-6.8,-6.6,-6.9
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-5.5,-6.2,-5.6
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-6.6,-6.3,-6.4
VJOVAKSZILJDBB-UHFFFAOYSA-N,-4.1,-4.0,-4.7
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-7.7,-6.9,-7.7
