ligand,E1,E2,E3
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.8,-4.5,-4.0
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.5,-4.6,-3.9
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-5.9,-6.3,-6.7
HZTMGWSBSDLALI-UHFFFAOYSA-N,-5.1,-6.4,-4.6
HJXMNVQARNZTEE-NSHDSACASA-N,-6.3,-6.1,-4.5
RATGSRSDPNECNO-QMMMGPOBSA-N,-4.5,-5.1,-4.2
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-3.7,-4.0,-3.5
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.3,-4.4,-4.3
NGXUUAFYUCOICP-UHFFFAOYSA-N,-5.7,-5.4,-4.1
KJHOZAZQWVKILO-UHFFFAOYSA-N,-5.5,-5.7,-5.1
JZWFDVDETGFGFC-UHFFFAOYSA-N,-5.9,-5.9,-5.8
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-5.8,-6.6,-5.8
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-6.4,-7.8,-6.6
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.4,-5.0,-4.9
VJOVAKSZILJDBB-UHFFFAOYSA-N,-2.9,-4.1,-3.0
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-5.2,-4.8,-5.0
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-5.9,-6.6,-6.0
FVIGODVHAVLZOO-UHFFFAOYSA-N,-3.5,-3.9,-3.5
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-4.8,-5.2,-5.0
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-5.8,-6.3,-4.9
YQNFBOJPTAXAKV-OMCISZLKSA-N,-4.1,-5.5,-4.6
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-3.8,-4.0,-3.7
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-6.6,-6.8,-6.1
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-4.4,-6.1,-5.0
