ligand,E1,E2,E3
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-7.0,-7.5,-8.2
HZTMGWSBSDLALI-UHFFFAOYSA-N,-6.6,-6.0,-6.9
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-5.7,-6.2,-6.0
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-7.6,-7.1,-7.5
KJHOZAZQWVKILO-UHFFFAOYSA-N,-5.9,-5.9,-6.1
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.0,-4.0,-4.6
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.3,-4.7,-4.7
NGXUUAFYUCOICP-UHFFFAOYSA-N,-5.4,-5.2,-6.3
FVIGODVHAVLZOO-UHFFFAOYSA-N,-4.0,-4.2,-4.1
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.4,-4.4,-4.4
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.6,-4.5,-4.9
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-8.5,-8.2,-8.7
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-7.5,-7.3,-7.8
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-4.5,-4.8,-4.7
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.6,-5.5,-6.0
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.2,-5.3,-5.8
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-6.6,-6.3,-6.5
VJOVAKSZILJDBB-UHFFFAOYSA-N,-4.1,-3.9,-4.7
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-6.8,-7.1,-7.4
HJXMNVQARNZTEE-NSHDSACASA-N,-5.9,-6.2,-6.8
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.2,-5.4,-5.8
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.6,-4.3,-4.1
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-5.5,-6.0,-5.5
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.3,-6.7,-6.8
