ligand,E1,E2,E3
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-5.4,-6.0,-5.6
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.2,-5.8,-5.6
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.2,-5.4,-5.8
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.7,-4.7,-4.9
VJOVAKSZILJDBB-UHFFFAOYSA-N,-4.1,-3.9,-4.7
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-4.5,-4.7,-4.7
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-8.5,-8.2,-8.8
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-7.0,-7.2,-8.2
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-6.7,-7.1,-7.4
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.3,-6.7,-6.8
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.4,-4.8,-4.9
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.7,-5.3,-6.0
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-7.4,-7.3,-7.8
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.6,-4.3,-4.1
HJXMNVQARNZTEE-NSHDSACASA-N,-5.9,-6.2,-6.8
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.3,-4.4,-4.6
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-5.7,-6.2,-6.1
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.6,-4.5,-4.5
FVIGODVHAVLZOO-UHFFFAOYSA-N,-4.1,-4.3,-4.2
NGXUUAFYUCOICP-UHFFFAOYSA-N,-5.4,-5.2,-6.3
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-7.9,-6.8,-7.3
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-6.2,-6.3,-6.4
HZTMGWSBSDLALI-UHFFFAOYSA-N,-6.6,-6.4,-6.7
KJHOZAZQWVKILO-UHFFFAOYSA-N,-5.9,-5.9,-6.1
