ligand,E1,E2,E3
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-7.8,-7.3,-7.8
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.2,-5.8,-5.9
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-5.4,-6.3,-5.7
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.3,-5.3,-6.0
KJHOZAZQWVKILO-UHFFFAOYSA-N,-5.9,-5.9,-6.1
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.0,-4.3,-4.7
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-6.6,-6.3,-6.0
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-8.5,-8.3,-8.8
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-5.7,-6.1,-6.1
HJXMNVQARNZTEE-NSHDSACASA-N,-5.9,-6.2,-6.8
HZTMGWSBSDLALI-UHFFFAOYSA-N,-6.4,-6.4,-6.9
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-7.0,-7.5,-8.0
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.4,-4.5,-4.4
VJOVAKSZILJDBB-UHFFFAOYSA-N,-4.1,-3.9,-4.8
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.4,-4.8,-4.9
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-6.8,-7.1,-7.4
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.2,-5.4,-5.7
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-4.6,-4.8,-5.0
FVIGODVHAVLZOO-UHFFFAOYSA-N,-3.9,-4.3,-4.4
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.7,-4.7,-4.7
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.6,-4.2,-4.1
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-7.5,-7.1,-7.6
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.1,-6.7,-6.8
NGXUUAFYUCOICP-UHFFFAOYSA-N,-5.4,-5.2,-6.3
