ligand,E1,E2,E3
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-5.4,-6.0,-6.0
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.8,-3.8,-3.8
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.5,-3.7,-3.9
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-5.5,-6.9,-6.9
HJXMNVQARNZTEE-NSHDSACASA-N,-6.0,-5.3,-5.1
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-5.0,-5.3,-5.2
HZTMGWSBSDLALI-UHFFFAOYSA-N,-5.6,-5.4,-5.6
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-5.0,-4.5,-4.4
YQNFBOJPTAXAKV-OMCISZLKSA-N,-4.4,-4.7,-4.6
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-5.7,-6.1,-6.1
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.5,-4.4,-4.5
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.9,-5.0,-5.0
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-5.8,-6.0,-5.8
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.1,-5.4,-5.6
FVIGODVHAVLZOO-UHFFFAOYSA-N,-3.4,-3.8,-3.7
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-5.9,-6.0,-6.4
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-5.2,-4.5,-4.4
KJHOZAZQWVKILO-UHFFFAOYSA-N,-5.5,-5.4,-5.4
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.3,-4.3,-3.9
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-7.3,-7.1,-7.1
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-6.3,-5.5,-5.4
VJOVAKSZILJDBB-UHFFFAOYSA-N,-3.2,-3.5,-3.5
RATGSRSDPNECNO-QMMMGPOBSA-N,-4.4,-4.9,-4.9
NGXUUAFYUCOICP-UHFFFAOYSA-N,-4.5,-4.9,-4.8
