ligand,E1,E2,E3
JZWFDVDETGFGFC-UHFFFAOYSA-N,-4.7,-5.1,-4.9
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-4.5,-4.8,-4.2
RMUCZJUITONUFY-UHFFFAOYSA-N,-4.7,-4.2,-3.9
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-3.4,-3.0,-2.7
HZTMGWSBSDLALI-UHFFFAOYSA-N,-5.0,-4.9,-4.5
KJHOZAZQWVKILO-UHFFFAOYSA-N,-4.2,-4.6,-4.0
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-6.8,-6.9,-6.2
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-4.1,-3.8,-3.4
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-3.4,-3.3,-2.9
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-5.3,-5.0,-4.7
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-3.9,-3.6,-3.1
HJXMNVQARNZTEE-NSHDSACASA-N,-5.0,-4.9,-3.8
NGXUUAFYUCOICP-UHFFFAOYSA-N,-4.2,-4.1,-3.6
LTINPJMVDKPJJI-PBXRRBTRSA-N,-3.6,-3.5,-3.0
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-3.9,-4.5,-3.4
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-3.4,-3.4,-3.0
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-5.9,-6.0,-4.8
RATGSRSDPNECNO-QMMMGPOBSA-N,-4.3,-4.1,-3.6
YQNFBOJPTAXAKV-OMCISZLKSA-N,-4.7,-4.3,-4.3
FVIGODVHAVLZOO-UHFFFAOYSA-N,-2.9,-3.1,-2.4
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-6.2,-5.8,-4.9
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-5.4,-5.4,-4.8
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-4.9,-5.1,-4.2
VJOVAKSZILJDBB-UHFFFAOYSA-N,-3.0,-3.1,-2.8
