ligand,E1,E2,E3
VJOVAKSZILJDBB-UHFFFAOYSA-N,-3.8,-3.5,-3.7
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-6.5,-6.3,-5.8
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-6.3,-5.7,-5.6
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.3,-3.9,-4.3
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.5,-5.7,-5.4
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-3.9,-3.9,-4.4
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.8,-5.0,-4.9
HJXMNVQARNZTEE-NSHDSACASA-N,-6.0,-4.9,-5.5
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-7.0,-7.6,-6.5
FVIGODVHAVLZOO-UHFFFAOYSA-N,-3.9,-3.4,-3.7
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.0,-3.7,-4.0
HZTMGWSBSDLALI-UHFFFAOYSA-N,-5.8,-5.8,-5.4
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-6.9,-6.5,-6.2
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-5.3,-4.9,-5.0
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-6.0,-5.3,-5.1
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.0,-4.3,-4.7
KJHOZAZQWVKILO-UHFFFAOYSA-N,-5.6,-5.6,-5.4
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-5.3,-4.1,-4.2
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.7,-3.7,-4.0
NGXUUAFYUCOICP-UHFFFAOYSA-N,-5.1,-4.8,-4.9
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-5.6,-6.2,-5.9
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.6,-4.1,-4.4
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-6.5,-6.9,-6.3
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.2,-4.8,-4.7
