ligand,E1,E2,E3
POULHZVOKOAJMA-UHFFFAOYSA-N,-5.5,-4.9,-4.3
VQKLRVZQQYVIJW-UHFFFAOYSA-N,-7.0,-5.9,-6.1
LXNHXLLTXMVWPM-UHFFFAOYSA-N,-6.0,-5.2,-5.0
ORUJFMPWKPVXLZ-UHFFFAOYSA-N,-7.7,-6.0,-5.7
KGPPDNUWZNWPSI-UHFFFAOYSA-N,-5.1,-4.9,-4.4
NIQCNGHVCWTJSM-UHFFFAOYSA-N,-6.0,-5.5,-4.9
RPTUSVTUFVMDQK-UHFFFAOYSA-N,-7.1,-6.2,-6.2
KSMRODHGGIIXDV-YFKPBYRVSA-N,-5.7,-5.7,-5.1
VILCJCGEZXAXTO-UHFFFAOYSA-N,-4.1,-3.9,-3.4
NUVBSKCKDOMJSU-UHFFFAOYSA-N,-5.8,-5.5,-5.3
SPDZFJLQFWSJGA-UHFFFAOYSA-N,-5.5,-4.3,-4.0
XXRVYAFBUDSLJX-UHFFFAOYSA-N,-7.7,-6.5,-5.4
BPKUDUSVDVLOPY-UHFFFAOYSA-N,-8.0,-6.9,-7.9
UUVWYPNAQBNQJQ-UHFFFAOYSA-N,-5.0,-4.4,-4.4
XJGFWWJLMVZSIG-UHFFFAOYSA-N,-7.7,-6.9,-5.4
QIQXTHQIDYTFRH-UHFFFAOYSA-N,-5.3,-4.9,-3.9
OXAUOBQMCDIVPQ-IOXNKQMXSA-N,-9.1,-7.2,-5.6
QRZAKQDHEVVFRX-UHFFFAOYSA-N,-7.2,-6.7,-5.7
WEUCDJCFJHYFRL-IBGZPJMESA-N,-7.4,-6.0,-5.5
RDFJFVXMRYVOAC-UHFFFAOYSA-N,-3.5,-3.7,-3.5
HODRFAVLXIFVTR-RKDXNWHRSA-N,-7.3,-6.6,-5.9
YZZCJYJBCUJISI-UHFFFAOYSA-N,-5.7,-5.1,-5.0
SBUQZKJEOOQSBV-QMMMGPOBSA-N,-6.1,-5.1,-5.5
