ligand,E1,E2,E3
KGPPDNUWZNWPSI-UHFFFAOYSA-N,-4.8,-4.5,-5.1
YZZCJYJBCUJISI-UHFFFAOYSA-N,-5.3,-5.9,-5.7
BPKUDUSVDVLOPY-UHFFFAOYSA-N,-9.0,-9.0,-8.0
UUVWYPNAQBNQJQ-UHFFFAOYSA-N,-4.9,-4.7,-5.3
POULHZVOKOAJMA-UHFFFAOYSA-N,-5.2,-5.3,-5.0
RPTUSVTUFVMDQK-UHFFFAOYSA-N,-6.2,-6.1,-7.0
VQKLRVZQQYVIJW-UHFFFAOYSA-N,-6.5,-6.3,-6.9
QRZAKQDHEVVFRX-UHFFFAOYSA-N,-6.6,-6.8,-7.1
QIQXTHQIDYTFRH-UHFFFAOYSA-N,-4.5,-5.4,-5.6
ORUJFMPWKPVXLZ-UHFFFAOYSA-N,-6.1,-7.3,-7.3
XXRVYAFBUDSLJX-UHFFFAOYSA-N,-6.6,-7.3,-7.9
VILCJCGEZXAXTO-UHFFFAOYSA-N,-4.3,-3.9,-4.1
NIQCNGHVCWTJSM-UHFFFAOYSA-N,-5.2,-5.4,-5.9
SPDZFJLQFWSJGA-UHFFFAOYSA-N,-5.3,-4.9,-5.1
WEUCDJCFJHYFRL-IBGZPJMESA-N,-7.0,-6.8,-7.6
RDFJFVXMRYVOAC-UHFFFAOYSA-N,-3.7,-3.7,-3.5
KSMRODHGGIIXDV-YFKPBYRVSA-N,-5.5,-5.8,-5.8
OXAUOBQMCDIVPQ-IOXNKQMXSA-N,-7.9,-7.9,-8.7
SBUQZKJEOOQSBV-QMMMGPOBSA-N,-5.1,-5.3,-6.0
LXNHXLLTXMVWPM-UHFFFAOYSA-N,-5.5,-5.5,-6.0
XJGFWWJLMVZSIG-UHFFFAOYSA-N,-6.7,-6.7,-7.8
HODRFAVLXIFVTR-RKDXNWHRSA-N,-6.5,-6.4,-7.2
NUVBSKCKDOMJSU-UHFFFAOYSA-N,-5.2,-5.6,-5.8
