ligand,E1,E2,E3
BPKUDUSVDVLOPY-UHFFFAOYSA-N,-8.6,-9.1,-8.0
NIQCNGHVCWTJSM-UHFFFAOYSA-N,-5.1,-5.5,-6.0
POULHZVOKOAJMA-UHFFFAOYSA-N,-4.5,-5.2,-5.2
LXNHXLLTXMVWPM-UHFFFAOYSA-N,-5.5,-5.4,-6.0
XXRVYAFBUDSLJX-UHFFFAOYSA-N,-6.8,-7.4,-7.5
VQKLRVZQQYVIJW-UHFFFAOYSA-N,-6.5,-6.3,-6.9
HODRFAVLXIFVTR-RKDXNWHRSA-N,-6.8,-6.4,-7.2
OXAUOBQMCDIVPQ-IOXNKQMXSA-N,-8.0,-8.0,-8.8
YZZCJYJBCUJISI-UHFFFAOYSA-N,-5.3,-5.4,-5.8
VILCJCGEZXAXTO-UHFFFAOYSA-N,-4.2,-4.0,-4.0
SBUQZKJEOOQSBV-QMMMGPOBSA-N,-5.2,-5.3,-6.0
KSMRODHGGIIXDV-YFKPBYRVSA-N,-5.5,-5.8,-5.7
QRZAKQDHEVVFRX-UHFFFAOYSA-N,-6.6,-6.8,-7.1
QIQXTHQIDYTFRH-UHFFFAOYSA-N,-4.9,-5.0,-5.5
RPTUSVTUFVMDQK-UHFFFAOYSA-N,-6.2,-6.1,-7.0
ORUJFMPWKPVXLZ-UHFFFAOYSA-N,-6.3,-7.3,-7.4
SPDZFJLQFWSJGA-UHFFFAOYSA-N,-5.1,-5.0,-5.0
RDFJFVXMRYVOAC-UHFFFAOYSA-N,-3.7,-3.5,-3.5
NUVBSKCKDOMJSU-UHFFFAOYSA-N,-5.2,-5.6,-5.8
WEUCDJCFJHYFRL-IBGZPJMESA-N,-7.0,-6.8,-7.6
UUVWYPNAQBNQJQ-UHFFFAOYSA-N,-4.9,-4.7,-5.3
XJGFWWJLMVZSIG-UHFFFAOYSA-N,-6.7,-6.7,-7.8
KGPPDNUWZNWPSI-UHFFFAOYSA-N,-4.8,-4.6,-5.1
