ligand,E1,E2,E3
ORUJFMPWKPVXLZ-UHFFFAOYSA-N,-7.7,-6.0,-5.8
QIQXTHQIDYTFRH-UHFFFAOYSA-N,-5.5,-5.0,-3.7
RPTUSVTUFVMDQK-UHFFFAOYSA-N,-7.1,-6.2,-6.2
XXRVYAFBUDSLJX-UHFFFAOYSA-N,-7.8,-6.5,-5.3
VILCJCGEZXAXTO-UHFFFAOYSA-N,-4.1,-3.9,-3.4
SPDZFJLQFWSJGA-UHFFFAOYSA-N,-5.5,-4.2,-3.9
VQKLRVZQQYVIJW-UHFFFAOYSA-N,-7.0,-5.9,-6.1
NUVBSKCKDOMJSU-UHFFFAOYSA-N,-5.9,-5.5,-5.2
QRZAKQDHEVVFRX-UHFFFAOYSA-N,-7.2,-6.7,-5.7
KSMRODHGGIIXDV-YFKPBYRVSA-N,-5.8,-5.7,-5.0
SBUQZKJEOOQSBV-QMMMGPOBSA-N,-6.1,-5.1,-5.4
BPKUDUSVDVLOPY-UHFFFAOYSA-N,-8.0,-6.9,-7.9
LXNHXLLTXMVWPM-UHFFFAOYSA-N,-6.0,-5.2,-5.0
XJGFWWJLMVZSIG-UHFFFAOYSA-N,-7.7,-6.9,-5.4
YZZCJYJBCUJISI-UHFFFAOYSA-N,-5.9,-5.1,-5.1
RDFJFVXMRYVOAC-UHFFFAOYSA-N,-3.5,-3.7,-3.5
POULHZVOKOAJMA-UHFFFAOYSA-N,-5.3,-5.0,-4.3
UUVWYPNAQBNQJQ-UHFFFAOYSA-N,-5.1,-4.4,-4.4
NIQCNGHVCWTJSM-UHFFFAOYSA-N,-6.0,-5.5,-5.0
HODRFAVLXIFVTR-RKDXNWHRSA-N,-7.3,-6.4,-5.8
OXAUOBQMCDIVPQ-IOXNKQMXSA-N,-9.0,-7.4,-6.5
KGPPDNUWZNWPSI-UHFFFAOYSA-N,-5.1,-4.7,-4.4
WEUCDJCFJHYFRL-IBGZPJMESA-N,-7.4,-6.0,-5.5
