ligand,E1,E2,E3
RDFJFVXMRYVOAC-UHFFFAOYSA-N,-4.0,-3.5,-3.3
QRZAKQDHEVVFRX-UHFFFAOYSA-N,-7.0,-7.0,-7.1
KGPPDNUWZNWPSI-UHFFFAOYSA-N,-4.5,-4.7,-4.8
POULHZVOKOAJMA-UHFFFAOYSA-N,-5.1,-4.6,-5.1
BPKUDUSVDVLOPY-UHFFFAOYSA-N,-7.2,-6.9,-8.2
UUVWYPNAQBNQJQ-UHFFFAOYSA-N,-4.2,-4.4,-4.9
SPDZFJLQFWSJGA-UHFFFAOYSA-N,-5.2,-4.8,-4.6
XJGFWWJLMVZSIG-UHFFFAOYSA-N,-6.2,-7.5,-6.7
HODRFAVLXIFVTR-RKDXNWHRSA-N,-7.1,-6.4,-6.6
LXNHXLLTXMVWPM-UHFFFAOYSA-N,-5.3,-5.9,-5.3
YZZCJYJBCUJISI-UHFFFAOYSA-N,-6.1,-4.9,-5.5
NIQCNGHVCWTJSM-UHFFFAOYSA-N,-5.4,-5.0,-5.3
ORUJFMPWKPVXLZ-UHFFFAOYSA-N,-6.5,-6.5,-6.5
KSMRODHGGIIXDV-YFKPBYRVSA-N,-5.5,-5.7,-5.1
WEUCDJCFJHYFRL-IBGZPJMESA-N,-6.4,-5.3,-6.7
NUVBSKCKDOMJSU-UHFFFAOYSA-N,-5.4,-5.9,-5.6
RPTUSVTUFVMDQK-UHFFFAOYSA-N,-6.2,-6.5,-6.4
VQKLRVZQQYVIJW-UHFFFAOYSA-N,-6.1,-6.9,-6.3
OXAUOBQMCDIVPQ-IOXNKQMXSA-N,-7.8,-6.6,-7.1
XXRVYAFBUDSLJX-UHFFFAOYSA-N,-6.9,-5.9,-6.5
QIQXTHQIDYTFRH-UHFFFAOYSA-N,-5.5,-4.3,-5.1
SBUQZKJEOOQSBV-QMMMGPOBSA-N,-5.4,-5.8,-5.6
VILCJCGEZXAXTO-UHFFFAOYSA-N,-3.9,-4.3,-3.6
