ligand,E1,E2,E3
XJGFWWJLMVZSIG-UHFFFAOYSA-N,-6.7,-8.7,-5.4
VQKLRVZQQYVIJW-UHFFFAOYSA-N,-6.2,-6.9,-5.6
OXAUOBQMCDIVPQ-IOXNKQMXSA-N,-6.4,-6.6,-6.2
NIQCNGHVCWTJSM-UHFFFAOYSA-N,-5.6,-6.7,-4.9
QIQXTHQIDYTFRH-UHFFFAOYSA-N,-6.7,-6.7,-4.3
XXRVYAFBUDSLJX-UHFFFAOYSA-N,-7.7,-7.9,-5.5
HODRFAVLXIFVTR-RKDXNWHRSA-N,-6.9,-5.3,-5.6
KGPPDNUWZNWPSI-UHFFFAOYSA-N,-5.2,-5.5,-4.2
NUVBSKCKDOMJSU-UHFFFAOYSA-N,-5.6,-6.7,-4.6
VILCJCGEZXAXTO-UHFFFAOYSA-N,-4.1,-4.9,-3.6
SBUQZKJEOOQSBV-QMMMGPOBSA-N,-5.9,-6.8,-4.7
RPTUSVTUFVMDQK-UHFFFAOYSA-N,-6.3,-7.2,-5.9
POULHZVOKOAJMA-UHFFFAOYSA-N,-6.1,-6.9,-3.8
WEUCDJCFJHYFRL-IBGZPJMESA-N,-7.4,-5.0,-5.2
BPKUDUSVDVLOPY-UHFFFAOYSA-N,-7.9,-5.7,-6.4
QRZAKQDHEVVFRX-UHFFFAOYSA-N,-9.4,-9.3,-5.4
SPDZFJLQFWSJGA-UHFFFAOYSA-N,-4.9,-5.1,-4.5
YZZCJYJBCUJISI-UHFFFAOYSA-N,-5.6,-4.9,-4.7
RDFJFVXMRYVOAC-UHFFFAOYSA-N,-3.8,-4.3,-3.5
UUVWYPNAQBNQJQ-UHFFFAOYSA-N,-4.8,-3.7,-4.1
LXNHXLLTXMVWPM-UHFFFAOYSA-N,-5.2,-6.4,-4.9
ORUJFMPWKPVXLZ-UHFFFAOYSA-N,-6.9,-6.7,-5.2
KSMRODHGGIIXDV-YFKPBYRVSA-N,-5.6,-6.7,-5.0
