ligand,E1,E2,E3
SPDZFJLQFWSJGA-UHFFFAOYSA-N,-3.9,-5.8,-4.4
KSMRODHGGIIXDV-YFKPBYRVSA-N,-4.6,-6.2,-5.2
QRZAKQDHEVVFRX-UHFFFAOYSA-N,-5.0,-6.5,-5.2
WEUCDJCFJHYFRL-IBGZPJMESA-N,-5.3,-5.7,-4.5
RPTUSVTUFVMDQK-UHFFFAOYSA-N,-4.8,-5.9,-5.3
UUVWYPNAQBNQJQ-UHFFFAOYSA-N,-3.9,-4.5,-4.6
QIQXTHQIDYTFRH-UHFFFAOYSA-N,-4.3,-3.8,-4.1
SBUQZKJEOOQSBV-QMMMGPOBSA-N,-4.5,-4.7,-4.1
XJGFWWJLMVZSIG-UHFFFAOYSA-N,-5.1,-5.6,-5.0
ORUJFMPWKPVXLZ-UHFFFAOYSA-N,-5.0,-6.1,-5.3
OXAUOBQMCDIVPQ-IOXNKQMXSA-N,-5.9,-7.7,-5.9
HODRFAVLXIFVTR-RKDXNWHRSA-N,-5.1,-6.9,-5.1
LXNHXLLTXMVWPM-UHFFFAOYSA-N,-5.1,-5.2,-4.5
RDFJFVXMRYVOAC-UHFFFAOYSA-N,-3.3,-4.0,-4.1
VQKLRVZQQYVIJW-UHFFFAOYSA-N,-4.6,-5.8,-5.6
VILCJCGEZXAXTO-UHFFFAOYSA-N,-3.1,-4.7,-3.5
KGPPDNUWZNWPSI-UHFFFAOYSA-N,-4.3,-5.1,-4.6
NIQCNGHVCWTJSM-UHFFFAOYSA-N,-4.2,-5.7,-5.1
BPKUDUSVDVLOPY-UHFFFAOYSA-N,-5.5,-6.8,-5.2
POULHZVOKOAJMA-UHFFFAOYSA-N,-3.5,-4.7,-3.6
XXRVYAFBUDSLJX-UHFFFAOYSA-N,-5.4,-5.4,-5.0
YZZCJYJBCUJISI-UHFFFAOYSA-N,-4.0,-6.8,-4.1
NUVBSKCKDOMJSU-UHFFFAOYSA-N,-4.5,-5.3,-4.6
