ligand,E1,E2,E3
VILCJCGEZXAXTO-UHFFFAOYSA-N,-4.1,-3.2,-3.8
YZZCJYJBCUJISI-UHFFFAOYSA-N,-5.3,-3.8,-4.3
WEUCDJCFJHYFRL-IBGZPJMESA-N,-5.7,-4.4,-5.5
XXRVYAFBUDSLJX-UHFFFAOYSA-N,-5.8,-4.5,-6.2
UUVWYPNAQBNQJQ-UHFFFAOYSA-N,-4.8,-3.2,-3.9
SBUQZKJEOOQSBV-QMMMGPOBSA-N,-5.2,-3.7,-4.3
NUVBSKCKDOMJSU-UHFFFAOYSA-N,-5.5,-3.6,-4.5
SPDZFJLQFWSJGA-UHFFFAOYSA-N,-5.0,-3.5,-4.4
KGPPDNUWZNWPSI-UHFFFAOYSA-N,-4.5,-3.1,-4.0
OXAUOBQMCDIVPQ-IOXNKQMXSA-N,-6.9,-5.4,-6.2
QIQXTHQIDYTFRH-UHFFFAOYSA-N,-4.2,-2.8,-3.6
RDFJFVXMRYVOAC-UHFFFAOYSA-N,-4.3,-2.9,-2.8
HODRFAVLXIFVTR-RKDXNWHRSA-N,-7.3,-4.6,-5.4
KSMRODHGGIIXDV-YFKPBYRVSA-N,-6.0,-3.9,-4.5
LXNHXLLTXMVWPM-UHFFFAOYSA-N,-5.7,-3.8,-4.2
POULHZVOKOAJMA-UHFFFAOYSA-N,-4.5,-3.4,-4.4
ORUJFMPWKPVXLZ-UHFFFAOYSA-N,-5.8,-4.3,-5.6
NIQCNGHVCWTJSM-UHFFFAOYSA-N,-5.6,-3.8,-4.2
BPKUDUSVDVLOPY-UHFFFAOYSA-N,-7.1,-5.1,-6.3
RPTUSVTUFVMDQK-UHFFFAOYSA-N,-6.3,-4.6,-4.9
VQKLRVZQQYVIJW-UHFFFAOYSA-N,-6.6,-4.7,-5.1
XJGFWWJLMVZSIG-UHFFFAOYSA-N,-6.3,-4.1,-5.2
QRZAKQDHEVVFRX-UHFFFAOYSA-N,-6.8,-4.3,-5.5
