ligand,E1,E2,E3
SPDZFJLQFWSJGA-UHFFFAOYSA-N,-5.4,-5.5,-4.5
YZZCJYJBCUJISI-UHFFFAOYSA-N,-6.5,-5.9,-5.4
QRZAKQDHEVVFRX-UHFFFAOYSA-N,-8.1,-8.7,-6.8
SBUQZKJEOOQSBV-QMMMGPOBSA-N,-5.8,-6.5,-5.3
NUVBSKCKDOMJSU-UHFFFAOYSA-N,-5.9,-6.8,-5.2
RDFJFVXMRYVOAC-UHFFFAOYSA-N,-4.1,-4.1,-3.6
OXAUOBQMCDIVPQ-IOXNKQMXSA-N,-7.1,-9.7,-7.1
RPTUSVTUFVMDQK-UHFFFAOYSA-N,-6.8,-7.6,-6.2
XXRVYAFBUDSLJX-UHFFFAOYSA-N,-8.3,-9.4,-6.3
WEUCDJCFJHYFRL-IBGZPJMESA-N,-5.7,-7.9,-6.1
KGPPDNUWZNWPSI-UHFFFAOYSA-N,-5.0,-5.5,-4.4
KSMRODHGGIIXDV-YFKPBYRVSA-N,-6.0,-5.7,-5.2
ORUJFMPWKPVXLZ-UHFFFAOYSA-N,-8.5,-8.8,-5.8
BPKUDUSVDVLOPY-UHFFFAOYSA-N,-6.6,-8.7,-7.1
HODRFAVLXIFVTR-RKDXNWHRSA-N,-7.0,-7.4,-6.5
XJGFWWJLMVZSIG-UHFFFAOYSA-N,-7.8,-8.7,-6.7
LXNHXLLTXMVWPM-UHFFFAOYSA-N,-5.3,-5.7,-5.3
NIQCNGHVCWTJSM-UHFFFAOYSA-N,-6.4,-7.4,-5.5
QIQXTHQIDYTFRH-UHFFFAOYSA-N,-5.4,-6.8,-4.3
VQKLRVZQQYVIJW-UHFFFAOYSA-N,-6.9,-7.0,-6.3
VILCJCGEZXAXTO-UHFFFAOYSA-N,-4.3,-4.0,-3.7
UUVWYPNAQBNQJQ-UHFFFAOYSA-N,-5.2,-6.1,-4.9
POULHZVOKOAJMA-UHFFFAOYSA-N,-6.6,-6.3,-4.4
