ligand,E1,E2,E3
SPDZFJLQFWSJGA-UHFFFAOYSA-N,-5.8,-5.8,-5.4
OXAUOBQMCDIVPQ-IOXNKQMXSA-N,-10.0,-9.3,-8.8
QRZAKQDHEVVFRX-UHFFFAOYSA-N,-7.7,-7.0,-7.0
QIQXTHQIDYTFRH-UHFFFAOYSA-N,-6.3,-5.2,-5.7
SBUQZKJEOOQSBV-QMMMGPOBSA-N,-5.9,-6.4,-5.4
POULHZVOKOAJMA-UHFFFAOYSA-N,-5.3,-5.0,-5.1
VQKLRVZQQYVIJW-UHFFFAOYSA-N,-7.2,-6.7,-6.2
NUVBSKCKDOMJSU-UHFFFAOYSA-N,-6.2,-6.0,-5.1
UUVWYPNAQBNQJQ-UHFFFAOYSA-N,-5.8,-5.8,-5.2
XXRVYAFBUDSLJX-UHFFFAOYSA-N,-8.5,-7.8,-7.6
WEUCDJCFJHYFRL-IBGZPJMESA-N,-8.2,-8.1,-8.1
XJGFWWJLMVZSIG-UHFFFAOYSA-N,-7.4,-7.2,-6.5
LXNHXLLTXMVWPM-UHFFFAOYSA-N,-6.6,-6.6,-5.3
HODRFAVLXIFVTR-RKDXNWHRSA-N,-8.0,-7.5,-6.9
RPTUSVTUFVMDQK-UHFFFAOYSA-N,-7.2,-7.1,-6.3
BPKUDUSVDVLOPY-UHFFFAOYSA-N,-9.3,-8.9,-8.4
NIQCNGHVCWTJSM-UHFFFAOYSA-N,-6.4,-6.7,-5.6
KGPPDNUWZNWPSI-UHFFFAOYSA-N,-5.1,-5.0,-4.4
ORUJFMPWKPVXLZ-UHFFFAOYSA-N,-7.3,-7.2,-6.6
VILCJCGEZXAXTO-UHFFFAOYSA-N,-4.5,-4.7,-3.8
YZZCJYJBCUJISI-UHFFFAOYSA-N,-6.1,-6.3,-6.0
KSMRODHGGIIXDV-YFKPBYRVSA-N,-6.1,-6.7,-5.2
RDFJFVXMRYVOAC-UHFFFAOYSA-N,-4.5,-4.5,-3.8
