ligand,E1,E2,E3
AUFSOOYCQYDGES-SECBINFHSA-N,-5.9,-5.3,-4.2
QCDWFXQBSFUVSP-UHFFFAOYSA-N,-5.6,-4.5,-4.2
WDVSHHCDHLJJJR-UHFFFAOYSA-N,-7.3,-6.2,-5.1
NBIIXXVUZAFLBC-UHFFFAOYSA-N,-4.0,-3.2,-3.2
RTZKZFJDLAIYFH-UHFFFAOYSA-N,-3.3,-3.0,-3.0
IIXWYSCJSQVBQM-LLVKDONJSA-N,-7.1,-7.8,-6.5
JSWZEAMFRNKZNL-UHFFFAOYSA-N,-8.4,-7.0,-6.6
VWQZJJZGISNFOE-UHFFFAOYSA-N,-8.8,-6.6,-6.1
AYJVGKWCGIYEAK-UHFFFAOYSA-N,-9.4,-6.5,-6.2
VNLMRPAWAMPLNZ-LURJTMIESA-N,-7.4,-5.6,-5.1
GSEJCLTVZPLZKY-UHFFFAOYSA-N,-5.0,-3.7,-3.1
JBIMVDZLSHOPLA-LSCVHKIXSA-N,-7.4,-7.4,-5.8
ZYEPZINLLPPBMI-GOSISDBHSA-N,-6.8,-6.9,-6.0
NHUHCSRWZMLRLA-UHFFFAOYSA-N,-7.8,-6.4,-5.8
HZQDCMWJEBCWBR-UUOKFMHZSA-N,-8.0,-5.8,-5.5
JVVRCYWZTJLJSG-UHFFFAOYSA-N,-5.3,-5.0,-4.0
JLRNKCZRCMIVKA-UHFFFAOYSA-N,-9.3,-6.5,-6.7
QFWPJPIVLCBXFJ-UHFFFAOYSA-N,-8.2,-6.0,-5.7
HAWPXGHAZFHHAD-UHFFFAOYSA-N,-3.9,-3.4,-2.7
YXKTVDFXDRQTKV-HNNXBMFYSA-N,-6.9,-6.2,-4.2
VEQOALNAAJBPNY-UHFFFAOYSA-N,-6.4,-5.6,-4.9
NHKZSTHOYNWEEZ-AFCXAGJDSA-N,-7.5,-6.2,-5.4
PIWKPBJCKXDKJR-SFOWXEAESA-N,-5.2,-4.5,-4.2
