ligand,E1,E2,E3
JSWZEAMFRNKZNL-UHFFFAOYSA-N,-7.9,-7.7,-8.4
WDVSHHCDHLJJJR-UHFFFAOYSA-N,-6.5,-6.6,-7.5
ZYEPZINLLPPBMI-GOSISDBHSA-N,-6.7,-6.7,-7.0
JVVRCYWZTJLJSG-UHFFFAOYSA-N,-4.7,-4.7,-5.3
AUFSOOYCQYDGES-SECBINFHSA-N,-5.2,-5.1,-5.6
RTZKZFJDLAIYFH-UHFFFAOYSA-N,-3.0,-2.9,-3.1
NHUHCSRWZMLRLA-UHFFFAOYSA-N,-6.6,-7.4,-7.7
YXKTVDFXDRQTKV-HNNXBMFYSA-N,-5.1,-6.9,-7.7
VEQOALNAAJBPNY-UHFFFAOYSA-N,-5.8,-5.8,-6.7
VWQZJJZGISNFOE-UHFFFAOYSA-N,-7.0,-7.7,-7.4
JLRNKCZRCMIVKA-UHFFFAOYSA-N,-7.1,-7.7,-7.9
HAWPXGHAZFHHAD-UHFFFAOYSA-N,-3.3,-3.5,-3.7
NBIIXXVUZAFLBC-UHFFFAOYSA-N,-3.3,-3.3,-3.3
HZQDCMWJEBCWBR-UUOKFMHZSA-N,-6.4,-7.1,-6.6
VNLMRPAWAMPLNZ-LURJTMIESA-N,-6.0,-6.1,-6.2
AYJVGKWCGIYEAK-UHFFFAOYSA-N,-7.2,-7.2,-7.7
GSEJCLTVZPLZKY-UHFFFAOYSA-N,-4.2,-4.4,-4.3
IIXWYSCJSQVBQM-LLVKDONJSA-N,-9.3,-8.3,-9.4
QCDWFXQBSFUVSP-UHFFFAOYSA-N,-4.8,-5.4,-5.3
PIWKPBJCKXDKJR-SFOWXEAESA-N,-4.9,-4.6,-4.8
JBIMVDZLSHOPLA-LSCVHKIXSA-N,-7.1,-7.4,-7.9
NHKZSTHOYNWEEZ-AFCXAGJDSA-N,-6.8,-7.0,-6.2
QFWPJPIVLCBXFJ-UHFFFAOYSA-N,-7.1,-6.8,-7.3
