ligand,E1,E2,E3
AUFSOOYCQYDGES-SECBINFHSA-N,-4.6,-3.8,-4.4
JBIMVDZLSHOPLA-LSCVHKIXSA-N,-6.7,-6.4,-5.7
GSEJCLTVZPLZKY-UHFFFAOYSA-N,-3.7,-4.1,-3.9
ZYEPZINLLPPBMI-GOSISDBHSA-N,-5.8,-5.0,-5.2
NHKZSTHOYNWEEZ-AFCXAGJDSA-N,-5.9,-5.2,-5.9
JSWZEAMFRNKZNL-UHFFFAOYSA-N,-6.6,-6.1,-5.7
NHUHCSRWZMLRLA-UHFFFAOYSA-N,-5.9,-5.7,-6.0
JVVRCYWZTJLJSG-UHFFFAOYSA-N,-4.2,-4.1,-4.6
AYJVGKWCGIYEAK-UHFFFAOYSA-N,-5.8,-5.6,-5.4
NBIIXXVUZAFLBC-UHFFFAOYSA-N,-3.2,-3.6,-3.1
VEQOALNAAJBPNY-UHFFFAOYSA-N,-5.1,-4.3,-4.9
QCDWFXQBSFUVSP-UHFFFAOYSA-N,-4.3,-3.9,-4.1
HAWPXGHAZFHHAD-UHFFFAOYSA-N,-3.0,-2.6,-2.8
JLRNKCZRCMIVKA-UHFFFAOYSA-N,-6.4,-6.0,-5.7
WDVSHHCDHLJJJR-UHFFFAOYSA-N,-5.9,-5.0,-5.3
VNLMRPAWAMPLNZ-LURJTMIESA-N,-5.3,-4.8,-5.1
PIWKPBJCKXDKJR-SFOWXEAESA-N,-4.0,-4.0,-4.2
HZQDCMWJEBCWBR-UUOKFMHZSA-N,-5.8,-5.4,-5.4
RTZKZFJDLAIYFH-UHFFFAOYSA-N,-2.5,-2.5,-2.6
YXKTVDFXDRQTKV-HNNXBMFYSA-N,-4.7,-3.8,-3.6
VWQZJJZGISNFOE-UHFFFAOYSA-N,-6.3,-6.0,-6.0
QFWPJPIVLCBXFJ-UHFFFAOYSA-N,-5.9,-4.9,-5.5
IIXWYSCJSQVBQM-LLVKDONJSA-N,-7.8,-6.9,-6.9
