ligand,E1,E2,E3
YJYPHIXNFHFHND-UHFFFAOYSA-N,-5.9,-5.9,-6.3
FGVVTMRZYROCTH-UHFFFAOYSA-N,-3.4,-4.1,-3.9
BRBAEHHXGZRCBK-UHFFFAOYSA-N,-4.2,-4.6,-4.7
HSHNITRMYYLLCV-UHFFFAOYSA-N,-5.0,-5.4,-6.1
RGEVWUKXWFOAID-UHFFFAOYSA-N,-4.2,-3.9,-5.1
XSTXAVWGXDQKEL-UHFFFAOYSA-N,-2.6,-3.0,-2.9
KCFYEAOKVJSACF-UHFFFAOYSA-N,-5.1,-6.0,-6.4
MINDHVHHQZYEEK-HBBNESRFSA-N,-5.3,-5.7,-6.4
BDYYDXJSHYEDGB-UHFFFAOYSA-N,-5.4,-6.1,-6.8
OEYIOHPDSNJKLS-BJUDXGSMSA-N,-2.7,-3.3,-3.4
UEEJHVSXFDXPFK-UHFFFAOYSA-N,-2.6,-3.1,-3.2
DPYMFVXJLLWWEU-PVQJCKRUSA-N,-4.1,-4.7,-4.5
OPTZOXDYEFIPJZ-UHFFFAOYSA-N,-4.7,-5.4,-5.6
NYMGNSNKLVNMIA-UHFFFAOYSA-N,-4.7,-5.3,-5.7
VEZXCJBBBCKRPI-UHFFFAOYSA-N,-2.7,-2.9,-2.8
KBHMHROOFHVLBA-SECBINFHSA-N,-4.5,-4.8,-5.4
GHMLBKRAJCXXBS-UHFFFAOYSA-N,-3.9,-4.4,-4.2
MSNWSDPPULHLDL-UHFFFAOYSA-K,-3.1,-2.6,-2.9
TZDUHAJSIBHXDL-LBPRGKRZSA-N,-4.8,-5.8,-6.5
DSSYKIVIOFKYAU-XCBNKYQSSA-N,-4.0,-4.0,-5.2
WVYXNIXAMZOZFK-UHFFFAOYSA-N,-5.1,-5.9,-5.7
HEDRZPFGACZZDS-UHFFFAOYSA-N,-2.4,-2.5,-2.7
CIUUIPMOFZIWIZ-UHFFFAOYSA-N,-5.4,-5.5,-5.4
AVKHCKXGKPAGEI-UHFFFAOYSA-N,-4.7,-5.2,-5.5
