ligand,E1,E2,E3
DSSYKIVIOFKYAU-XCBNKYQSSA-N,-4.0,-3.9,-5.2
NYMGNSNKLVNMIA-UHFFFAOYSA-N,-4.7,-5.3,-5.7
XSTXAVWGXDQKEL-UHFFFAOYSA-N,-2.6,-3.0,-2.9
RGEVWUKXWFOAID-UHFFFAOYSA-N,-4.1,-3.9,-5.1
KBHMHROOFHVLBA-SECBINFHSA-N,-4.5,-4.8,-5.4
HEDRZPFGACZZDS-UHFFFAOYSA-N,-2.4,-2.5,-2.7
HSHNITRMYYLLCV-UHFFFAOYSA-N,-5.1,-5.4,-6.1
BRBAEHHXGZRCBK-UHFFFAOYSA-N,-3.8,-4.5,-4.9
AVKHCKXGKPAGEI-UHFFFAOYSA-N,-4.7,-5.2,-5.5
YJYPHIXNFHFHND-UHFFFAOYSA-N,-5.9,-6.1,-6.4
VEZXCJBBBCKRPI-UHFFFAOYSA-N,-2.7,-2.9,-2.9
UEEJHVSXFDXPFK-UHFFFAOYSA-N,-2.6,-3.1,-3.2
CIUUIPMOFZIWIZ-UHFFFAOYSA-N,-5.4,-5.5,-5.5
WVYXNIXAMZOZFK-UHFFFAOYSA-N,-4.9,-5.9,-5.8
OEYIOHPDSNJKLS-BJUDXGSMSA-N,-2.8,-3.3,-3.4
KCFYEAOKVJSACF-UHFFFAOYSA-N,-5.1,-6.1,-6.5
TZDUHAJSIBHXDL-LBPRGKRZSA-N,-5.3,-6.2,-6.3
MINDHVHHQZYEEK-HBBNESRFSA-N,-5.1,-6.1,-6.7
OPTZOXDYEFIPJZ-UHFFFAOYSA-N,-4.7,-5.4,-5.6
BDYYDXJSHYEDGB-UHFFFAOYSA-N,-5.4,-6.2,-6.8
GHMLBKRAJCXXBS-UHFFFAOYSA-N,-4.0,-4.4,-4.2
DPYMFVXJLLWWEU-PVQJCKRUSA-N,-4.1,-4.7,-4.4
FGVVTMRZYROCTH-UHFFFAOYSA-N,-3.4,-4.1,-3.9
MSNWSDPPULHLDL-UHFFFAOYSA-K,-3.1,-2.6,-2.9
