ligand,E1,E2,E3
AVKHCKXGKPAGEI-UHFFFAOYSA-N,-4.7,-6.5,-5.4
XSTXAVWGXDQKEL-UHFFFAOYSA-N,-3.0,-2.7,-3.0
YJYPHIXNFHFHND-UHFFFAOYSA-N,-4.6,-6.6,-5.4
DSSYKIVIOFKYAU-XCBNKYQSSA-N,-3.6,-4.9,-3.0
RGEVWUKXWFOAID-UHFFFAOYSA-N,-4.1,-5.2,-3.3
FGVVTMRZYROCTH-UHFFFAOYSA-N,-4.0,-4.0,-3.4
DPYMFVXJLLWWEU-PVQJCKRUSA-N,-4.5,-4.8,-5.1
KBHMHROOFHVLBA-SECBINFHSA-N,-4.3,-4.9,-3.8
VEZXCJBBBCKRPI-UHFFFAOYSA-N,-2.8,-3.6,-3.2
KCFYEAOKVJSACF-UHFFFAOYSA-N,-4.8,-5.5,-4.9
NYMGNSNKLVNMIA-UHFFFAOYSA-N,-4.6,-5.2,-5.0
HEDRZPFGACZZDS-UHFFFAOYSA-N,-2.6,-2.3,-2.6
OPTZOXDYEFIPJZ-UHFFFAOYSA-N,-4.7,-6.1,-5.0
CIUUIPMOFZIWIZ-UHFFFAOYSA-N,-5.1,-5.8,-4.9
MSNWSDPPULHLDL-UHFFFAOYSA-K,-3.3,-4.5,-3.8
BDYYDXJSHYEDGB-UHFFFAOYSA-N,-5.0,-5.9,-5.5
UEEJHVSXFDXPFK-UHFFFAOYSA-N,-3.0,-3.6,-3.0
GHMLBKRAJCXXBS-UHFFFAOYSA-N,-4.5,-4.6,-3.8
BRBAEHHXGZRCBK-UHFFFAOYSA-N,-4.2,-6.7,-5.4
WVYXNIXAMZOZFK-UHFFFAOYSA-N,-4.6,-6.2,-5.3
MINDHVHHQZYEEK-HBBNESRFSA-N,-5.3,-5.3,-5.2
HSHNITRMYYLLCV-UHFFFAOYSA-N,-5.0,-5.9,-5.3
TZDUHAJSIBHXDL-LBPRGKRZSA-N,-4.6,-5.7,-4.9
OEYIOHPDSNJKLS-BJUDXGSMSA-N,-3.0,-3.6,-2.8
