ligand,E1,E2,E3
VEZXCJBBBCKRPI-UHFFFAOYSA-N,-3.6,-2.8,-3.8
OEYIOHPDSNJKLS-BJUDXGSMSA-N,-4.1,-3.1,-3.7
BRBAEHHXGZRCBK-UHFFFAOYSA-N,-6.9,-4.5,-5.3
BDYYDXJSHYEDGB-UHFFFAOYSA-N,-8.7,-6.3,-6.4
YJYPHIXNFHFHND-UHFFFAOYSA-N,-9.3,-7.2,-9.3
OPTZOXDYEFIPJZ-UHFFFAOYSA-N,-7.8,-6.2,-7.7
RGEVWUKXWFOAID-UHFFFAOYSA-N,-6.9,-5.8,-6.0
HEDRZPFGACZZDS-UHFFFAOYSA-N,-3.1,-2.6,-3.2
AVKHCKXGKPAGEI-UHFFFAOYSA-N,-7.2,-5.5,-6.7
HSHNITRMYYLLCV-UHFFFAOYSA-N,-8.4,-6.3,-8.3
CIUUIPMOFZIWIZ-UHFFFAOYSA-N,-9.1,-6.9,-8.4
TZDUHAJSIBHXDL-LBPRGKRZSA-N,-9.0,-6.3,-8.2
DSSYKIVIOFKYAU-XCBNKYQSSA-N,-6.6,-5.2,-6.1
WVYXNIXAMZOZFK-UHFFFAOYSA-N,-8.2,-6.5,-7.0
MSNWSDPPULHLDL-UHFFFAOYSA-K,-4.0,-3.0,-2.9
KCFYEAOKVJSACF-UHFFFAOYSA-N,-9.3,-7.0,-6.1
UEEJHVSXFDXPFK-UHFFFAOYSA-N,-3.9,-2.8,-3.5
GHMLBKRAJCXXBS-UHFFFAOYSA-N,-6.1,-4.3,-5.6
XSTXAVWGXDQKEL-UHFFFAOYSA-N,-3.5,-3.1,-3.9
KBHMHROOFHVLBA-SECBINFHSA-N,-7.1,-5.7,-7.0
MINDHVHHQZYEEK-HBBNESRFSA-N,-8.0,-6.2,-6.5
DPYMFVXJLLWWEU-PVQJCKRUSA-N,-5.8,-4.5,-5.6
FGVVTMRZYROCTH-UHFFFAOYSA-N,-5.2,-4.1,-5.0
NYMGNSNKLVNMIA-UHFFFAOYSA-N,-7.3,-5.5,-7.1
