ligand,E1,E2,E3
AVKHCKXGKPAGEI-UHFFFAOYSA-N,-5.6,-5.8,-6.1
DSSYKIVIOFKYAU-XCBNKYQSSA-N,-5.3,-5.1,-5.2
DPYMFVXJLLWWEU-PVQJCKRUSA-N,-4.9,-4.7,-5.1
GHMLBKRAJCXXBS-UHFFFAOYSA-N,-5.1,-5.1,-5.1
NYMGNSNKLVNMIA-UHFFFAOYSA-N,-5.7,-5.8,-6.1
KCFYEAOKVJSACF-UHFFFAOYSA-N,-6.6,-6.9,-7.1
BDYYDXJSHYEDGB-UHFFFAOYSA-N,-6.7,-7.2,-6.9
BRBAEHHXGZRCBK-UHFFFAOYSA-N,-5.7,-5.9,-5.8
UEEJHVSXFDXPFK-UHFFFAOYSA-N,-3.5,-3.3,-3.3
TZDUHAJSIBHXDL-LBPRGKRZSA-N,-5.9,-7.5,-6.4
CIUUIPMOFZIWIZ-UHFFFAOYSA-N,-6.5,-6.9,-6.6
MINDHVHHQZYEEK-HBBNESRFSA-N,-6.8,-7.6,-7.3
HEDRZPFGACZZDS-UHFFFAOYSA-N,-2.7,-2.9,-2.8
RGEVWUKXWFOAID-UHFFFAOYSA-N,-5.4,-5.1,-5.4
MSNWSDPPULHLDL-UHFFFAOYSA-K,-3.2,-3.2,-3.4
FGVVTMRZYROCTH-UHFFFAOYSA-N,-4.4,-4.4,-4.6
HSHNITRMYYLLCV-UHFFFAOYSA-N,-6.2,-6.7,-7.0
YJYPHIXNFHFHND-UHFFFAOYSA-N,-6.6,-6.6,-7.5
KBHMHROOFHVLBA-SECBINFHSA-N,-5.3,-5.9,-6.0
OPTZOXDYEFIPJZ-UHFFFAOYSA-N,-5.7,-6.2,-6.7
OEYIOHPDSNJKLS-BJUDXGSMSA-N,-3.7,-3.4,-3.5
WVYXNIXAMZOZFK-UHFFFAOYSA-N,-6.3,-6.2,-6.6
VEZXCJBBBCKRPI-UHFFFAOYSA-N,-3.4,-3.3,-3.1
XSTXAVWGXDQKEL-UHFFFAOYSA-N,-3.2,-3.1,-3.3
